Sample REF	D919B6CE-09A9-4C46-847A-D76D8EE9B4D0
NF-kB-p65_pS536-R-C	0.11015894675
NF2-R-C	-0.30944090325
Notch1-R-V	0.0839423382500001
P-Cadherin-R-C	0.08583382475
p21-R-V	0.10195297575
p27-R-V	-0.25763736725
p27_pT157-R-C	-0.0681371467499999
p27_pT198-R-V	-0.13320681425
p38_MAPK-R-V	0.04936844775
p38_pT180_Y182-R-V	0.75703933575
p53-R-E	0.16179636425
p62-LCK-ligand-M-C	-0.42975157925
p70S6K-R-V	0.0006685647500001
p70S6K_pT389-R-V	-0.0351677587499998
p90RSK-R-C	0.00623545525000013
p90RSK_pT359_S363-R-C	0.22062912725
PAI-1-M-E	-0.50639983325
PARP_cleaved-M-E	0.0861291162499999
PARP1-R-V	-1.15530017825
Paxillin-R-C	-0.44259850225
PCNA-M-C	-0.26045564825
PDCD4-R-C	-0.09862062825
PDK1-R-V	0.08413812075
PDK1_pS241-R-V	0.0330369602500001
PEA15-R-V	-0.21268531025
PEA15_pS116-R-V	0.11928955125
PI3K-p110-alpha-R-C	0.0864879202500001
PI3K-p85-R-V	-0.36028357675
PKC-alpha-M-V	0.51769017675
PKC-alpha_pS657-R-C	0.48870887425
PKC-delta_pS664-R-V	-0.08252834675
PKC-pan_BetaII_pS660-R-V	0.37663494025
PR-R-V	0.10092828075
PRAS40_pT246-R-V	0.15051190425
PRDX1-R-V	-1.22057055175
PREX1-R-E	-0.64502571975
PTEN-R-V	0.10316684675
Rab11-R-E	0.0705531722500001
Rab25-R-V	0.26513831825
Rad50-M-V	0.0242815552500001
Rad51-R-V	0.24200190675
Raptor-R-V	0.0742897967500001
Rb-M-E	0.17268127925
Rb_pS807_S811-R-V	-0.41763712775
RBM15-R-V	-0.24942878575
Rictor-R-C	2.98334184975
Rictor_pT1135-R-V	0.14202524775
S6-R-E	-0.64876900075
S6_pS235_S236-R-V	-0.53103982325
S6_pS240_S244-R-V	-0.39074764275
SCD-M-V	0.00846868524999989
SETD2-R-E	1.54255746025
SF2-M-V	-0.15358983925
Shc_pY317-R-E	-0.10422865825
Smac-M-E	-0.26573347775
Smad1-R-V	-0.00743078774999995
Smad3-R-V	-0.10752985475
Smad4-M-V	0.0123282832500001
Snail-M-E	-0.01601875975
Src-M-V	0.25276046825
Src_pY416-R-C	-0.0274749007499998
Src_pY527-R-V	0.53407720175
STAT3_pY705-R-V	0.26511526975
STAT5-alpha-R-V	-0.83525678775
Stathmin-R-V	0.0238973342500001
Syk-M-V	-0.80476109075
TAZ-R-V	0.08735527725
TFRC-R-V	-0.80998550975
TIGAR-R-V	-0.35698573275
Transglutaminase-M-V	0.32001349875
TSC1-R-C	0.16580984175
TTF1-R-V	-0.00944577274999991
Tuberin-R-E	-0.13122044925
Tuberin_pT1462-R-V	0.29450479275
VEGFR2-R-V	0.19192211975
EPPK1-M-E	0.50537360175
XBP1-G-C	0.23053067325
XRCC1-R-E	-0.12686031475
YAP-R-E	0.44790504875
YAP_pS127-R-E	1.07815714575
YB-1-R-V	0.33379623625
YB-1_pS102-R-V	0.15942929125
A-Raf-R-V	-0.05032932775
ARID1A-R-C	-0.37330741425
B-Raf_pS445-R-V	-0.41940785675
Bcl2A1-R-V	0.20409815975
BRD4-R-V	-0.38347451825
c-Abl-R-V	-0.0172813607499999
Caspase-3-R-C	-0.18660768825
CD26-R-V	0.38512111825
Chk1_pS296-R-V	-0.0388203297499999
COG3-R-V	-0.15558639575
DUSP4-R-V	-0.0343306952500001
ERCC5-R-C	-0.10741219925
IGF1R_pY1135_Y1136-R-V	0.04686202275
IRF-1-R-C	-0.00453144674999995
Jak2-R-V	-0.34671089575
p16_INK4a-R-V	-0.18036870575
SHP-2_pY542-R-C	0.66484612825
CDK1_pY15-R-C	-0.11838992925
