Sample REF	A2D32F2C-55A3-46E5-9AAA-9EDC6ADE2591
p53-R-E	0.0359972385000001
p62-LCK-ligand-M-C	0.017947288
p70S6K-R-V	0.138697352
p70S6K_pT389-R-V	-0.2977887895
p90RSK-R-C	0.3653512325
p90RSK_pT359_S363-R-C	-0.1483054015
PAI-1-M-E	1.945379762
PARP_cleaved-M-E	0.0312122784999999
PARP1-R-V	0.575883495
Paxillin-R-C	0.749977851
PCNA-M-C	0.171570388
PDCD4-R-C	-0.700558893
PDK1-R-V	0.104551932
PDK1_pS241-R-V	0.3198294915
PEA15-R-V	0.0494845549999999
PEA15_pS116-R-V	-0.0624235955000001
PI3K-p110-alpha-R-C	-0.0867524485000001
PI3K-p85-R-V	0.0466187925
PKC-alpha-M-V	-0.215169566
PKC-alpha_pS657-R-C	-0.2509318025
PKC-delta_pS664-R-V	0.0305316824999999
PKC-pan_BetaII_pS660-R-V	-0.0788913915000001
PR-R-V	-0.121118088
PRAS40_pT246-R-V	0.1280305665
PRDX1-R-V	0.3104068055
PREX1-R-E	-0.2526556715
PTEN-R-V	-0.262115373
Rab11-R-E	-0.1662797035
Rab25-R-V	-0.6543707665
Rad50-M-V	-0.0777408225000001
Rad51-R-V	-0.349643534
Raptor-R-V	-0.15199323
Rb-M-E	-0.1923860115
Rb_pS807_S811-R-V	0.1247241425
RBM15-R-V	0.2096447475
Rictor-R-C	-0.0389198900000001
Rictor_pT1135-R-V	-0.180283399
S6-R-E	0.1805975805
S6_pS235_S236-R-V	0.512949753
S6_pS240_S244-R-V	0.7813484365
SCD-M-V	-0.1126986325
SETD2-R-E	-0.1765171005
SF2-M-V	-0.298035136
Shc_pY317-R-E	-0.0491002640000001
Smac-M-E	-0.1560454465
Smad1-R-V	0.0895049305
Smad3-R-V	0.0965204645000001
Smad4-M-V	-0.1000969435
Snail-M-E	0.0356289984999999
Src-M-V	-0.2431207675
Src_pY416-R-C	0.5646008815
Src_pY527-R-V	-0.13365537
STAT3_pY705-R-V	0.01613833
STAT5-alpha-R-V	0.2381252725
Stathmin-R-V	-0.0765962125
Syk-M-V	0.2341119775
TAZ-R-V	-0.0242204165000001
TFRC-R-V	0.5796490475
TIGAR-R-V	0.0821791584999999
Transglutaminase-M-V	-0.100607575
TSC1-R-C	0.0355624839999998
TTF1-R-V	-0.0856393975
Tuberin-R-E	-0.0413778630000002
Tuberin_pT1462-R-V	0.28147301
VEGFR2-R-V	0.222546481
EPPK1-M-E	1.775497088
XBP1-G-C	-0.0403728375
XRCC1-R-E	-0.0499861765
YAP-R-E	-0.264840986
YAP_pS127-R-E	-0.166007552
YB-1-R-V	0.2765609665
YB-1_pS102-R-V	0.0287248045
A-Raf-R-V	-0.0307047795000001
ARID1A-R-C	0.0916276779999999
B-Raf_pS445-R-V	-0.0758423075
Bcl2A1-R-V	-0.373371484
BRD4-R-V	0.034459189
c-Abl-R-V	-0.1340745255
Caspase-3-R-C	0.1643276
CD26-R-V	-0.1042907955
Chk1_pS296-R-V	0.00174735449999996
COG3-R-V	0.0107285274999999
DUSP4-R-V	0.131598781
ERCC5-R-C	-0.0983095450000001
IGF1R_pY1135_Y1136-R-V	-0.0672589910000001
IRF-1-R-C	-0.2774795095
Jak2-R-V	-0.1239051685
p16_INK4a-R-V	-0.1691865065
SHP-2_pY542-R-C	-0.1344123955
CDK1_pY15-R-C	-0.080948542
