Sample REF	98BF5B14-7CE7-4E13-BFAA-104572685026
p38_MAPK-R-V	0.0372996754999999
p38_pT180_Y182-R-V	0.3863444435
p53-R-E	1.077550859
p62-LCK-ligand-M-C	-0.3590631135
p70S6K-R-V	-0.4729543885
p70S6K_pT389-R-V	0.703477851
p90RSK-R-C	-0.057618944
p90RSK_pT359_S363-R-C	0.881143838
PAI-1-M-E	1.2602432565
PARP_cleaved-M-E	-0.320497687
PARP1-R-V	-1.7372151135
Paxillin-R-C	-0.4394778755
PCNA-M-C	-0.3448834455
PDCD4-R-C	0.2569126585
PDK1-R-V	0.2144082915
PDK1_pS241-R-V	0.043419525
PEA15-R-V	0.2928572225
PEA15_pS116-R-V	0.374302248
PI3K-p110-alpha-R-C	-0.085013265
PI3K-p85-R-V	0.167450144
PKC-alpha-M-V	-0.1759719165
PKC-alpha_pS657-R-C	0.006588284
PKC-delta_pS664-R-V	-0.198223137
PKC-pan_BetaII_pS660-R-V	0.0464012559999999
PR-R-V	0.0662179214999999
PRAS40_pT246-R-V	-0.039027534
PRDX1-R-V	0.217347502
PREX1-R-E	-0.03808101
PTEN-R-V	-0.1782328515
Rab11-R-E	0.435416774
Rab25-R-V	0.108933832
Rad50-M-V	-0.348602719
Rad51-R-V	1.1776913445
Raptor-R-V	0.1904969605
Rb-M-E	0.06445345
Rb_pS807_S811-R-V	-0.426608431
RBM15-R-V	-0.735575222
Rictor-R-C	0.2344921185
Rictor_pT1135-R-V	0.1346743855
S6-R-E	-1.341805308
S6_pS235_S236-R-V	-0.3964206665
S6_pS240_S244-R-V	-0.482726465
SCD-M-V	-0.0251267430000002
SETD2-R-E	0.357892674
SF2-M-V	0.0819367984999999
Shc_pY317-R-E	-0.0764439905000001
Smac-M-E	-0.214450102
Smad1-R-V	-0.500663328
Smad3-R-V	-0.265887729
Smad4-M-V	-0.18644258
Snail-M-E	-0.352089861
Src-M-V	0.153328421
Src_pY416-R-C	-0.024124641
Src_pY527-R-V	-0.4261664115
STAT3_pY705-R-V	-0.0505503005000001
STAT5-alpha-R-V	0.151568874
Stathmin-R-V	0.531776524
Syk-M-V	0.493214325
TAZ-R-V	0.193525132
TFRC-R-V	1.058416384
TIGAR-R-V	0.0687999879999999
Transglutaminase-M-V	-0.0263901985
TSC1-R-C	-0.1886259715
TTF1-R-V	0.152352744
Tuberin-R-E	-0.1389222445
Tuberin_pT1462-R-V	0.2086391825
VEGFR2-R-V	-0.1626643525
EPPK1-M-E	-0.8825737225
XBP1-G-C	0.858555075
XRCC1-R-E	-0.274289881
YAP-R-E	0.0257229805
YAP_pS127-R-E	-0.0825148965
YB-1-R-V	-0.050931089
YB-1_pS102-R-V	0.083543929
A-Raf-R-V	-0.327592727
ARID1A-R-C	-1.0922703205
B-Raf_pS445-R-V	-0.237301436
Bcl2A1-R-V	1.1047165325
BRD4-R-V	-1.8854373425
c-Abl-R-V	-0.279691778
Caspase-3-R-C	-0.3240545565
CD26-R-V	0.0810358549999999
Chk1_pS296-R-V	0.227844184
COG3-R-V	0.108539207
DUSP4-R-V	-0.1282428545
ERCC5-R-C	0.0786424124999999
IGF1R_pY1135_Y1136-R-V	0.2739928985
IRF-1-R-C	0.400597348
Jak2-R-V	-0.713820835
p16_INK4a-R-V	0.17413844
SHP-2_pY542-R-C	-0.259007939
CDK1_pY15-R-C	-0.1120771455
