Sample REF	A4538CA9-9E09-461E-B007-80FCC271E6F1
GATA3-M-V	0.123555576
GSK3-alpha-beta-M-V	0.0127008705
GSK3-alpha-beta_pS21_S9-R-V	-0.2094835235
GSK3_pS9-R-V	-0.3816196545
HER2-M-V	-0.443828107
HER2_pY1248-R-C	-0.2128274645
HER3-R-V	-0.15994803
HER3_pY1289-R-C	-0.0723083254999999
Heregulin-R-V	-0.0645153434999999
HSP70-R-C	-0.7647334815
IGFBP2-R-V	0.0800474320000001
INPP4B-R-V	-0.1184241875
IRS1-R-V	-0.2649839405
JAB1-M-C	0.0193881920000001
JNK_pT183_pY185-R-V	-0.1726904345
JNK2-R-C	0.0575965205000001
Ku80-R-C	0.0167550175000002
Lck-R-V	0.492586245
LKB1-M-E	-0.1351979775
MAPK_pT202_Y204-R-V	-0.3462137065
MEK1-R-V	0.077593131
MEK1_pS217_S221-R-V	-0.1040469955
MIG-6-M-V	-0.0209488349999999
Mre11-R-C	-0.0740992374999999
MSH2-M-V	0.586737344
MSH6-R-C	0.498637357
mTOR-R-V	0.544922167
mTOR_pS2448-R-C	0.0632918480000002
MYH11-R-V	-0.7528441635
Myosin-IIa_pS1943-R-V	-0.1533117555
N-Cadherin-R-V	-0.0667247089999999
N-Ras-M-V	0.061393695
NDRG1_pT346-R-V	0.287101545
NF-kB-p65_pS536-R-C	0.00547988600000016
NF2-R-C	0.691799443
Notch1-R-V	-0.2956853465
P-Cadherin-R-C	0.387771203
p21-R-V	0.437282253
p27-R-V	0.113269597
p27_pT157-R-C	0.0211636125000001
p27_pT198-R-V	0.051225898
p38_MAPK-R-V	0.166399216
p38_pT180_Y182-R-V	0.409366256
p53-R-E	-0.0136406584999997
p62-LCK-ligand-M-C	0.421422876
p70S6K-R-V	0.40036987
p70S6K_pT389-R-V	-0.0993304584999999
p90RSK-R-C	0.0466999205000002
p90RSK_pT359_S363-R-C	-0.2632691965
PAI-1-M-E	-0.311657576
PARP_cleaved-M-E	0.0135036354999999
PARP1-R-V	0.23009943
Paxillin-R-C	-0.0489638539999999
PCNA-M-C	-0.152670952
PDCD4-R-C	1.119624429
PDK1-R-V	0.071091333
PDK1_pS241-R-V	0.1426640285
PEA15-R-V	0.159211845
PEA15_pS116-R-V	0.3896238205
PI3K-p110-alpha-R-C	-0.0413009254999999
PI3K-p85-R-V	0.1319367705
PKC-alpha-M-V	-0.180889576
PKC-alpha_pS657-R-C	-0.2543828725
PKC-delta_pS664-R-V	0.2089526405
PKC-pan_BetaII_pS660-R-V	0.3747759815
PR-R-V	-0.067918519
PRAS40_pT246-R-V	-0.0650754824999999
PRDX1-R-V	0.5057791815
PREX1-R-E	0.4446379155
PTEN-R-V	0.143184679
Rab11-R-E	-0.1049886585
Rab25-R-V	0.1096438335
Rad50-M-V	0.1456238285
Rad51-R-V	-0.049856532
Raptor-R-V	0.696088104
Rb-M-E	-0.0144383174999999
Rb_pS807_S811-R-V	0.2866079655
RBM15-R-V	0.0126175745000001
Rictor-R-C	-0.187721032
Rictor_pT1135-R-V	0.143902486
S6-R-E	-0.0373681434999997
S6_pS235_S236-R-V	-0.350569709
S6_pS240_S244-R-V	-0.2550007295
SCD-M-V	0.3049441085
SETD2-R-E	-0.1123605045
SF2-M-V	0.419821143
Shc_pY317-R-E	0.00577210100000003
Smac-M-E	0.4333261045
Smad1-R-V	-0.00722631449999989
Smad3-R-V	0.1172954485
Smad4-M-V	-0.0432581784999999
Snail-M-E	0.3561018505
Src-M-V	0.3031428985
Src_pY416-R-C	0.1323029345
Src_pY527-R-V	-0.681244025
STAT3_pY705-R-V	-0.237687569
STAT5-alpha-R-V	0.7096005825
Stathmin-R-V	-0.0826116404999999
Syk-M-V	0.6934450555
TAZ-R-V	-0.2197470685
TFRC-R-V	0.8394200705
TIGAR-R-V	-0.1936659065
Transglutaminase-M-V	-0.0797411029999999
TSC1-R-C	-0.003768518
TTF1-R-V	0.4611615235
Tuberin-R-E	-0.201416967
Tuberin_pT1462-R-V	-0.324351833
VEGFR2-R-V	-0.271149126
EPPK1-M-E	0.701297887
XBP1-G-C	-0.0170828124999998
XRCC1-R-E	0.2087859685
YAP-R-E	-0.315727465
YAP_pS127-R-E	-0.661674928
YB-1-R-V	-0.0625274655
YB-1_pS102-R-V	-0.1489332065
A-Raf-R-V	0.0492972215
ARID1A-R-C	0.0884812030000002
B-Raf_pS445-R-V	0.0237630765000001
Bcl2A1-R-V	-0.149369905
BRD4-R-V	0.0729569919999999
c-Abl-R-V	0.0556685455000001
Caspase-3-R-C	-0.0143602350000001
CD26-R-V	-0.0609588925
Chk1_pS296-R-V	-0.0211812175
COG3-R-V	0.0367982315000001
DUSP4-R-V	-0.225314708
ERCC5-R-C	0.296988015
IGF1R_pY1135_Y1136-R-V	-0.123131899
IRF-1-R-C	0.1964860585
Jak2-R-V	0.1579503145
p16_INK4a-R-V	0.1039093775
SHP-2_pY542-R-C	-0.4051213975
CDK1_pY15-R-C	-0.51614954
