Sample REF	044D0CB8-2F15-42AB-9CFC-2BCC918CE4D0
Cyclin_E1-M-V	-0.32373488025
Cyclin_E2-R-C	-0.30718180325
DJ-1-R-E	0.10470657025
Dvl3-R-V	0.10522684925
E-Cadherin-R-V	-1.66279260425
eEF2-R-C	-0.34905898475
eEF2K-R-V	-0.32101977525
EGFR-R-V	0.20369239775
EGFR_pY1068-R-C	0.21777623425
EGFR_pY1173-R-V	-0.07435301775
eIF4E-R-V	-0.12928646325
eIF4G-R-C	-0.16858947575
ER-alpha-R-V	0.0649090872500001
ER-alpha_pS118-R-V	-0.27304143525
ERCC1-M-V	-0.14328433425
ERK2-R-E	0.38000542825
ETS-1-R-V	0.01483703625
FASN-R-V	-0.61822336425
Fibronectin-R-V	1.31019852675
FoxM1-R-V	-0.89366986425
FOXO3a-R-C	-0.0118877917499999
FOXO3a_pS318_S321-R-C	0.23361536425
G6PD-M-V	0.23697366875
GAB2-R-V	0.00481543125
GAPDH-M-C	-0.74949068975
GATA3-M-V	0.0299313952499999
GSK3-alpha-beta-M-V	-0.0779065252499999
GSK3-alpha-beta_pS21_S9-R-V	0.27819458075
GSK3_pS9-R-V	0.41677974775
HER2-M-V	0.06764862825
HER2_pY1248-R-C	0.0486090467499999
HER3-R-V	0.10712938925
HER3_pY1289-R-C	0.24330751475
Heregulin-R-V	-0.09601301625
HSP70-R-C	-0.05859949825
IGFBP2-R-V	0.23847010025
INPP4B-R-V	0.0993049677500003
IRS1-R-V	-0.09620213925
JAB1-M-C	-0.12568738875
JNK_pT183_pY185-R-V	-0.00481543125
JNK2-R-C	0.11827512175
Ku80-R-C	-0.70777789625
Lck-R-V	-0.25823349775
LKB1-M-E	-0.03027816525
MAPK_pT202_Y204-R-V	0.88692987775
MEK1-R-V	0.06068470925
MEK1_pS217_S221-R-V	0.03926345875
MIG-6-M-V	0.08257607425
Mre11-R-C	0.04862124775
MSH2-M-V	-0.93011583875
MSH6-R-C	-1.56199023575
mTOR-R-V	-0.23348653075
mTOR_pS2448-R-C	0.20182514625
MYH11-R-V	2.31631941875
Myosin-IIa_pS1943-R-V	0.74860864875
N-Cadherin-R-V	0.07982525225
N-Ras-M-V	-0.07052163575
NDRG1_pT346-R-V	0.99407384425
NF-kB-p65_pS536-R-C	0.43504104925
NF2-R-C	-0.49188134475
Notch1-R-V	-0.01326143125
P-Cadherin-R-C	0.20449932725
p21-R-V	0.49394118625
p27-R-V	0.18146441125
p27_pT157-R-C	-0.19928540925
p27_pT198-R-V	-0.18532672475
p38_MAPK-R-V	0.13639793825
p38_pT180_Y182-R-V	0.56369512325
p53-R-E	0.0276141117500002
p62-LCK-ligand-M-C	0.18716245925
p70S6K-R-V	0.01092215325
p70S6K_pT389-R-V	-0.21558183825
p90RSK-R-C	-0.02358400125
p90RSK_pT359_S363-R-C	-0.0602375382499999
PAI-1-M-E	1.92775790725
PARP_cleaved-M-E	-0.28747327225
PARP1-R-V	-1.54798010075
Paxillin-R-C	0.24944005625
PCNA-M-C	-0.62129226575
PDCD4-R-C	-0.27112602175
PDK1-R-V	-0.01823262575
PDK1_pS241-R-V	0.12651465275
PEA15-R-V	0.56203724225
PEA15_pS116-R-V	0.03359896975
PI3K-p110-alpha-R-C	0.03219621075
PI3K-p85-R-V	0.10039289375
PKC-alpha-M-V	0.52897848025
PKC-alpha_pS657-R-C	0.61719080875
PKC-delta_pS664-R-V	-0.31057423725
PKC-pan_BetaII_pS660-R-V	0.05916397175
PR-R-V	0.07702306925
PRAS40_pT246-R-V	-0.04827560825
PRDX1-R-V	-0.67577925725
PREX1-R-E	-0.31778076025
PTEN-R-V	0.25294508625
Rab11-R-E	-0.04876274725
Rab25-R-V	-0.33661708525
Rad50-M-V	-0.0718246802500001
Rad51-R-V	-0.11286787675
Raptor-R-V	0.30464153025
Rb-M-E	0.05014017975
Rb_pS807_S811-R-V	-0.38891769625
RBM15-R-V	-0.56590119425
Rictor-R-C	2.00578540825
Rictor_pT1135-R-V	0.0996530442499999
S6-R-E	-0.38797625025
S6_pS235_S236-R-V	0.0594600772499999
S6_pS240_S244-R-V	0.06558462075
SCD-M-V	-0.0869548972500002
SETD2-R-E	-0.02037860825
SF2-M-V	-0.0600433037500001
Shc_pY317-R-E	0.0290678002499998
Smac-M-E	-0.38884545625
Smad1-R-V	0.18786099275
Smad3-R-V	-0.19383370325
Smad4-M-V	-0.05779980125
Snail-M-E	-0.27148235825
Src-M-V	0.05262288475
Src_pY416-R-C	-0.0384700642499999
Src_pY527-R-V	0.60430537325
STAT3_pY705-R-V	0.57914287025
STAT5-alpha-R-V	-0.0151681242500001
Stathmin-R-V	-0.20469895125
Syk-M-V	-0.0332029242500002
TAZ-R-V	0.35768441675
TFRC-R-V	-1.06373966025
TIGAR-R-V	-0.28947845825
Transglutaminase-M-V	0.15157600025
TSC1-R-C	0.23799799825
TTF1-R-V	-0.26248583025
Tuberin-R-E	0.15380549325
Tuberin_pT1462-R-V	0.33939595925
VEGFR2-R-V	0.56054744125
EPPK1-M-E	0.28255172925
XBP1-G-C	0.34698218275
XRCC1-R-E	-0.51550990525
YAP-R-E	0.30596900625
YAP_pS127-R-E	0.81567234625
YB-1-R-V	0.31620592175
YB-1_pS102-R-V	-0.05768952725
A-Raf-R-V	-0.07143847925
ARID1A-R-C	-0.49259701675
B-Raf_pS445-R-V	-0.15258426125
Bcl2A1-R-V	0.19777581225
BRD4-R-V	-0.64646369775
c-Abl-R-V	0.00794549975
Caspase-3-R-C	-0.24885926675
CD26-R-V	0.16535760075
Chk1_pS296-R-V	-0.06409499925
COG3-R-V	-0.02929833125
DUSP4-R-V	-0.32691142175
ERCC5-R-C	0.10976865025
IGF1R_pY1135_Y1136-R-V	0.16291171025
IRF-1-R-C	-0.08356639225
Jak2-R-V	-0.23910209125
p16_INK4a-R-V	0.47783645875
SHP-2_pY542-R-C	0.22743716675
CDK1_pY15-R-C	-0.43563692375
