Sample REF	8A84F80A-CA4D-4809-BF17-D50458644D56
Bcl2A1-R-V	-0.2037508855
BRD4-R-V	0.4563419145
c-Abl-R-V	0.174875923
Caspase-3-R-C	0.3302935255
CD26-R-V	-0.118801954
Chk1_pS296-R-V	-0.0655235320000001
COG3-R-V	-0.126129113
DUSP4-R-V	-0.1105521205
ERCC5-R-C	0.1549148585
IGF1R_pY1135_Y1136-R-V	-0.1494683645
IRF-1-R-C	0.221338128
Jak2-R-V	0.214590815
p16_INK4a-R-V	-0.256140352
SHP-2_pY542-R-C	-0.250110417
CDK1_pY15-R-C	0.2023802915
