Sample REF	EA35517F-13EE-4F9D-99FF-F6DF99B33664
Rb_pS807_S811-R-V	-0.164919894
RBM15-R-V	-0.304563151
Rictor-R-C	0.3705306805
Rictor_pT1135-R-V	0.1209433755
S6-R-E	0.0141879310000002
S6_pS235_S236-R-V	-0.2975133395
S6_pS240_S244-R-V	-0.405004034
SCD-M-V	0.231569356
SETD2-R-E	-0.098174088
SF2-M-V	0.3216413615
Shc_pY317-R-E	-0.1552595275
Smac-M-E	0.046610941
Smad1-R-V	0.032220094
Smad3-R-V	0.0971489360000001
Smad4-M-V	-0.0707851709999998
Snail-M-E	-0.262677933
Src-M-V	-0.239278252
Src_pY416-R-C	0.180912285
Src_pY527-R-V	0.0672381785000001
STAT3_pY705-R-V	-0.0545424865
STAT5-alpha-R-V	-0.083953374
Stathmin-R-V	0.0742881680000001
Syk-M-V	-0.478213819
TAZ-R-V	-0.00932833399999995
TFRC-R-V	-0.126629596
TIGAR-R-V	-0.184156027
Transglutaminase-M-V	-0.0131500515
TSC1-R-C	0.0557321855
TTF1-R-V	-0.164268039
Tuberin-R-E	0.1851522655
Tuberin_pT1462-R-V	0.1902823395
VEGFR2-R-V	-0.00192905449999992
EPPK1-M-E	0.7910123605
XBP1-G-C	0.390038797
XRCC1-R-E	0.183765444
YAP-R-E	0.0121770885000001
YAP_pS127-R-E	0.1311711645
YB-1-R-V	0.0523432620000001
YB-1_pS102-R-V	-0.121084707
A-Raf-R-V	0.0215607820000001
ARID1A-R-C	-0.0693211395
B-Raf_pS445-R-V	0.293526583
Bcl2A1-R-V	-0.0690455535
BRD4-R-V	0.0839230925000001
c-Abl-R-V	0.223464953
Caspase-3-R-C	-0.0975007455000001
CD26-R-V	-0.030055206
Chk1_pS296-R-V	-0.0258416379999999
COG3-R-V	0.0418623640000001
DUSP4-R-V	-0.2995220215
ERCC5-R-C	0.0679088784999999
IGF1R_pY1135_Y1136-R-V	0.0619308915
IRF-1-R-C	-0.022845999
Jak2-R-V	0.035677283
p16_INK4a-R-V	-0.422259045
SHP-2_pY542-R-C	0.158359179
CDK1_pY15-R-C	-0.0618124024999999
