Sample REF	7CEB95E7-E9F1-4654-ACB4-ED9CF52F7632
GSK3-alpha-beta_pS21_S9-R-V	0.143194093
GSK3_pS9-R-V	0.213107038
HER2-M-V	-0.2069575505
HER2_pY1248-R-C	0.25249249
HER3-R-V	-0.1683016145
HER3_pY1289-R-C	0.350983214
Heregulin-R-V	-0.014536604
HSP70-R-C	0.587390366
IGFBP2-R-V	-0.4360547505
INPP4B-R-V	0.0646798350000002
IRS1-R-V	0.517268794
JAB1-M-C	-0.1700891075
JNK_pT183_pY185-R-V	0.251506685
JNK2-R-C	0.211878248
Ku80-R-C	-1.088641337
Lck-R-V	-0.0898961985
LKB1-M-E	0.20539366
MAPK_pT202_Y204-R-V	0.30580786
MEK1-R-V	0.3233216605
MEK1_pS217_S221-R-V	0.348733015
MIG-6-M-V	-0.0450790255
Mre11-R-C	0.490353633
MSH2-M-V	-1.0972555515
MSH6-R-C	-1.7368413045
mTOR-R-V	-0.5242073515
mTOR_pS2448-R-C	0.0654479785000002
MYH11-R-V	3.742071879
Myosin-IIa_pS1943-R-V	-0.895263877
N-Cadherin-R-V	0.3410575515
N-Ras-M-V	0.0287923754999999
NDRG1_pT346-R-V	0.0174632375000003
NF-kB-p65_pS536-R-C	0.4504897635
NF2-R-C	-0.2899190185
Notch1-R-V	0.312530711
P-Cadherin-R-C	0.1442236465
p21-R-V	0.3037020195
p27-R-V	0.3950202095
p27_pT157-R-C	-0.016512903
p27_pT198-R-V	-0.0613667984999999
p38_MAPK-R-V	0.1218488625
p38_pT180_Y182-R-V	0.6497529445
p53-R-E	-0.096853544
p62-LCK-ligand-M-C	-0.7408605875
p70S6K-R-V	-0.2213420795
p70S6K_pT389-R-V	0.346362828
p90RSK-R-C	-0.318717308
p90RSK_pT359_S363-R-C	0.494220268
PAI-1-M-E	-0.4706767025
PARP_cleaved-M-E	-0.383381496
PARP1-R-V	-1.1146611685
Paxillin-R-C	0.0306703464999999
PCNA-M-C	-0.4215160925
PDCD4-R-C	-0.6207534725
PDK1-R-V	0.2611548285
PDK1_pS241-R-V	0.273562295
PEA15-R-V	0.1359086595
PEA15_pS116-R-V	0.311400538
PI3K-p110-alpha-R-C	-0.036207223
PI3K-p85-R-V	0.14932451
PKC-alpha-M-V	1.4391827195
PKC-alpha_pS657-R-C	1.467870628
PKC-delta_pS664-R-V	-0.206526426
PKC-pan_BetaII_pS660-R-V	0.086961594
PR-R-V	0.6361485335
PRAS40_pT246-R-V	-0.141902491
PRDX1-R-V	-0.898771699
PREX1-R-E	-0.806168165
PTEN-R-V	-0.0338815165
Rab11-R-E	0.392765419
Rab25-R-V	-0.0500107729999999
Rad50-M-V	-0.020318445
Rad51-R-V	0.8464961455
Raptor-R-V	-0.0294326774999999
Rb-M-E	0.297750514
Rb_pS807_S811-R-V	-0.9963881
RBM15-R-V	-1.218046435
Rictor-R-C	4.0043857285
Rictor_pT1135-R-V	0.5503153715
S6-R-E	-1.423776138
S6_pS235_S236-R-V	-1.0619017145
S6_pS240_S244-R-V	-0.932892079
SCD-M-V	-0.178060597
SETD2-R-E	0.270213575
SF2-M-V	-0.1365575385
Shc_pY317-R-E	0.0500554065000001
Smac-M-E	-0.0417583560000001
Smad1-R-V	-0.132487644
Smad3-R-V	-0.121553065
Smad4-M-V	-0.132183388
Snail-M-E	-0.277805228
Src-M-V	0.237398315
Src_pY416-R-C	-0.330758453
Src_pY527-R-V	0.5963339555
STAT3_pY705-R-V	-0.1508024935
STAT5-alpha-R-V	-0.236090279
Stathmin-R-V	0.361142391
Syk-M-V	-1.249792829
TAZ-R-V	0.313622882
TFRC-R-V	-1.169327975
TIGAR-R-V	-0.256915653
Transglutaminase-M-V	0.8918646405
TSC1-R-C	0.2075497715
TTF1-R-V	0.127015726
Tuberin-R-E	-2.2087615115
Tuberin_pT1462-R-V	0.0708656645000001
VEGFR2-R-V	0.6240028155
EPPK1-M-E	0.3466466605
XBP1-G-C	0.149247961
XRCC1-R-E	-0.401810853
YAP-R-E	0.4797787765
YAP_pS127-R-E	1.4324743875
YB-1-R-V	0.337577606
YB-1_pS102-R-V	0.175923894
A-Raf-R-V	-0.416564775
ARID1A-R-C	-0.6146486155
B-Raf_pS445-R-V	-0.283819626
Bcl2A1-R-V	0.6238231665
BRD4-R-V	-0.3772486335
c-Abl-R-V	0.013039351
Caspase-3-R-C	-0.2715080815
CD26-R-V	0.861359261
Chk1_pS296-R-V	0.175376229
COG3-R-V	-0.469128356
DUSP4-R-V	-0.3607512795
ERCC5-R-C	-0.2620450665
IGF1R_pY1135_Y1136-R-V	0.3310814595
IRF-1-R-C	-0.124880547
Jak2-R-V	-0.66009883
p16_INK4a-R-V	0.0781001560000001
SHP-2_pY542-R-C	0.150176165
CDK1_pY15-R-C	-0.2602627775
