Sample REF	F562B1EB-64F8-440C-BD3F-988E04F979FA
p90RSK-R-C	-0.319735642
p90RSK_pT359_S363-R-C	0.256892401
PAI-1-M-E	0.5604956575
PARP_cleaved-M-E	-0.0148458270000002
PARP1-R-V	0.0261719104999998
Paxillin-R-C	-0.2887952635
PCNA-M-C	-0.2010430545
PDCD4-R-C	0.1289785475
PDK1-R-V	-0.2011106615
PDK1_pS241-R-V	-0.498395801
PEA15-R-V	-0.1180858635
PEA15_pS116-R-V	0.08584218
PI3K-p110-alpha-R-C	-0.0701902150000001
PI3K-p85-R-V	-0.453933613
PKC-alpha-M-V	-0.1629632775
PKC-alpha_pS657-R-C	-0.230435405
PKC-delta_pS664-R-V	-0.10780548
PKC-pan_BetaII_pS660-R-V	-0.194577011
PR-R-V	0.1102007915
PRAS40_pT246-R-V	0.038984012
PRDX1-R-V	-0.209645226
PREX1-R-E	0.022869242
PTEN-R-V	0.0392222365
Rab11-R-E	0.108327843
Rab25-R-V	0.252743975
Rad50-M-V	0.00761642299999993
Rad51-R-V	0.5087311865
Raptor-R-V	0.0462972535000001
Rb-M-E	0.097343895
Rb_pS807_S811-R-V	-0.354126632
RBM15-R-V	-0.119479225
Rictor-R-C	0.4786743335
Rictor_pT1135-R-V	0.1580513355
S6-R-E	-0.247715933
S6_pS235_S236-R-V	-0.2345866835
S6_pS240_S244-R-V	-0.34444069
SCD-M-V	0.00568206099999974
SETD2-R-E	0.051322111
SF2-M-V	0.1417167855
Shc_pY317-R-E	-0.2573458525
Smac-M-E	0.579303421
Smad1-R-V	-0.051773255
Smad3-R-V	9.08000000021669e-07
Smad4-M-V	-0.165745361
Snail-M-E	0.118036235
Src-M-V	-0.293598753
Src_pY416-R-C	0.035424725
Src_pY527-R-V	-0.2028843685
STAT3_pY705-R-V	0.2661393505
STAT5-alpha-R-V	-0.812467176
Stathmin-R-V	0.182967352
Syk-M-V	-0.48658588
TAZ-R-V	0.100246876
TFRC-R-V	-0.417534137
TIGAR-R-V	-0.179340907
Transglutaminase-M-V	-0.1476716565
TSC1-R-C	-0.3238197755
TTF1-R-V	0.11515454
Tuberin-R-E	0.0626585974999999
Tuberin_pT1462-R-V	-0.0710888444999999
VEGFR2-R-V	-0.2500701745
EPPK1-M-E	-0.8030520275
XBP1-G-C	0.856243356
XRCC1-R-E	0.012607058
YAP-R-E	0.0024462515
YAP_pS127-R-E	-0.1916451185
YB-1-R-V	-0.060505926
YB-1_pS102-R-V	-0.150706756
A-Raf-R-V	-0.050338273
ARID1A-R-C	-0.0264388365
B-Raf_pS445-R-V	-0.062914214
Bcl2A1-R-V	0.4347606405
BRD4-R-V	0.1220471065
c-Abl-R-V	0.201786131
Caspase-3-R-C	-0.0592222475000001
CD26-R-V	-0.0281094120000001
Chk1_pS296-R-V	-0.00329893399999998
COG3-R-V	-0.037846643
DUSP4-R-V	-0.3106315975
ERCC5-R-C	-0.0909336485000001
IGF1R_pY1135_Y1136-R-V	0.0544413874999999
IRF-1-R-C	0.087512019
Jak2-R-V	-0.172593773
p16_INK4a-R-V	0.030324944
SHP-2_pY542-R-C	0.179496767
CDK1_pY15-R-C	0.2500754365
