Sample REF	CB7DC24C-699C-4121-841B-239DF9DA5BDF
CD49b-M-V	-0.0531685617500002
CDK1-R-V	-0.0529286667500001
Chk1-M-C	0.41666922375
Chk1_pS345-R-C	0.31109142875
Chk2-M-E	0.12783605775
Chk2_pT68-R-C	0.16042636875
cIAP-R-V	0.18480006875
Claudin-7-R-V	-0.24684245875
Collagen_VI-R-V	0.13261766675
Cyclin_B1-R-V	-0.53131534675
Cyclin_D1-R-V	-0.31668003925
Cyclin_E1-M-V	-0.17599958675
Cyclin_E2-R-C	0.31111883225
DJ-1-R-E	0.04196337075
Dvl3-R-V	0.26545022075
E-Cadherin-R-V	-1.67538565075
eEF2-R-C	-0.0958591062500001
eEF2K-R-V	0.17687490625
EGFR-R-V	-0.16792521875
EGFR_pY1068-R-C	-0.21048681925
EGFR_pY1173-R-V	0.07766902775
eIF4E-R-V	0.17991746625
eIF4G-R-C	-0.15940686625
ER-alpha-R-V	-0.0893052062500002
ER-alpha_pS118-R-V	0.21357316625
ERCC1-M-V	-0.0637433907500001
ERK2-R-E	0.0702221597499999
ETS-1-R-V	0.0378809557499999
FASN-R-V	-0.72970662875
Fibronectin-R-V	-0.50787721975
FoxM1-R-V	-0.55082963475
FOXO3a-R-C	0.0596342877499999
FOXO3a_pS318_S321-R-C	0.25016369875
G6PD-M-V	0.10295107125
GAB2-R-V	1.50379552675
GAPDH-M-C	-0.56055739625
GATA3-M-V	-0.00974458225000008
GSK3-alpha-beta-M-V	0.04167484925
GSK3-alpha-beta_pS21_S9-R-V	0.20170345325
GSK3_pS9-R-V	0.15150479825
HER2-M-V	-0.28008128025
HER2_pY1248-R-C	-0.22565167375
HER3-R-V	-0.17330313125
HER3_pY1289-R-C	-0.0527455557500001
Heregulin-R-V	-0.0604666277500001
HSP70-R-C	-0.63493314075
IGFBP2-R-V	0.48818599375
INPP4B-R-V	0.21215955525
IRS1-R-V	-0.18938806375
JAB1-M-C	0.0397470037500001
JNK_pT183_pY185-R-V	0.0651068392499999
JNK2-R-C	-0.0854114607500001
Ku80-R-C	0.42184589425
Lck-R-V	0.24918909875
LKB1-M-E	0.00843573824999994
MAPK_pT202_Y204-R-V	0.47516295725
MEK1-R-V	0.03394151575
MEK1_pS217_S221-R-V	-0.11154708375
MIG-6-M-V	-0.0984910782500001
Mre11-R-C	0.12175489725
MSH2-M-V	-0.07500631625
MSH6-R-C	-0.35977599225
mTOR-R-V	0.08383177275
mTOR_pS2448-R-C	0.15119661175
MYH11-R-V	0.86513439525
Myosin-IIa_pS1943-R-V	-0.0270658387500001
N-Cadherin-R-V	0.0492260177499999
N-Ras-M-V	0.17086110875
NDRG1_pT346-R-V	-0.00162538024999992
NF-kB-p65_pS536-R-C	-0.0108314092500001
NF2-R-C	-0.11263256025
Notch1-R-V	-0.0848997757500001
P-Cadherin-R-C	0.09371054875
p21-R-V	-0.0118299422500001
p27-R-V	0.10637704275
p27_pT157-R-C	0.11118707725
p27_pT198-R-V	0.09444462575
p38_MAPK-R-V	-0.21047343625
p38_pT180_Y182-R-V	0.22777811975
p53-R-E	-0.10346860675
p62-LCK-ligand-M-C	-0.0734575412500001
p70S6K-R-V	-0.27409981225
p70S6K_pT389-R-V	0.60006182625
p90RSK-R-C	-0.32556111875
p90RSK_pT359_S363-R-C	-0.14358483675
PAI-1-M-E	-0.32845099625
PARP_cleaved-M-E	0.25887609525
PARP1-R-V	0.71858367175
Paxillin-R-C	-0.0478688092500001
PCNA-M-C	-0.25095470025
PDCD4-R-C	0.25239184775
PDK1-R-V	-0.0607526792500001
PDK1_pS241-R-V	0.01599823525
PEA15-R-V	-0.08979037025
PEA15_pS116-R-V	0.19280571725
PI3K-p110-alpha-R-C	-0.0395625127500001
PI3K-p85-R-V	0.02370322525
PKC-alpha-M-V	-0.11238118225
PKC-alpha_pS657-R-C	-0.11556402575
PKC-delta_pS664-R-V	-0.26094116675
PKC-pan_BetaII_pS660-R-V	0.15388183125
PR-R-V	0.0222592357499999
PRAS40_pT246-R-V	-0.0232311127500001
PRDX1-R-V	0.0583775342499999
PREX1-R-E	0.37535803825
PTEN-R-V	0.32693705575
Rab11-R-E	-0.0695864067500001
Rab25-R-V	-0.04550203075
Rad50-M-V	0.45274501825
Rad51-R-V	-0.17635238325
Raptor-R-V	0.06481408775
Rb-M-E	-0.0770775857500001
Rb_pS807_S811-R-V	-0.25989595275
RBM15-R-V	0.03279944825
Rictor-R-C	-0.0204395792500001
Rictor_pT1135-R-V	-0.07816693625
S6-R-E	-0.09078402475
S6_pS235_S236-R-V	0.30634336475
S6_pS240_S244-R-V	-0.19410126175
SCD-M-V	0.14344914425
SETD2-R-E	-0.05488848775
SF2-M-V	0.44314107275
Shc_pY317-R-E	-0.19658402925
Smac-M-E	0.65026748125
Smad1-R-V	0.27523506925
Smad3-R-V	0.11581986225
Smad4-M-V	0.0523699932499999
Snail-M-E	-0.0684937767500001
Src-M-V	-0.26248119375
Src_pY416-R-C	-0.12180354975
Src_pY527-R-V	-0.29549257425
STAT3_pY705-R-V	0.17907691575
STAT5-alpha-R-V	0.17509134825
Stathmin-R-V	-0.11882511175
Syk-M-V	0.21767093625
TAZ-R-V	-0.11056515275
TFRC-R-V	0.0226474132499999
TIGAR-R-V	-0.30066277975
Transglutaminase-M-V	-0.0591767562500001
TSC1-R-C	0.0135323777499998
TTF1-R-V	-0.10998626475
Tuberin-R-E	0.13598977575
Tuberin_pT1462-R-V	0.18477159575
VEGFR2-R-V	-0.10576822725
EPPK1-M-E	-0.0304229922500001
XBP1-G-C	-0.25982724875
XRCC1-R-E	0.11904594825
YAP-R-E	-0.0472435562500001
YAP_pS127-R-E	-0.12563904025
YB-1-R-V	-0.11606409475
YB-1_pS102-R-V	-0.09151987475
A-Raf-R-V	-0.13892748975
ARID1A-R-C	0.31270443075
B-Raf_pS445-R-V	0.11498719525
Bcl2A1-R-V	-0.0888087712500001
BRD4-R-V	0.10505647275
c-Abl-R-V	0.32092116125
Caspase-3-R-C	0.0866734247499998
CD26-R-V	-0.10520686475
Chk1_pS296-R-V	-0.0505131527500001
COG3-R-V	0.26625494825
DUSP4-R-V	-0.26358459125
ERCC5-R-C	-0.0249219672500002
IGF1R_pY1135_Y1136-R-V	-0.01762861925
IRF-1-R-C	0.22459950625
Jak2-R-V	0.21994570125
p16_INK4a-R-V	0.00162538024999992
SHP-2_pY542-R-C	0.00957906324999969
CDK1_pY15-R-C	-0.12884981425
