Sample REF	A73266DB-85B7-40CD-9031-1919549D06F9
eEF2-R-C	-0.58350181325
eEF2K-R-V	-0.27031598075
EGFR-R-V	0.45133097725
EGFR_pY1068-R-C	0.18491430075
EGFR_pY1173-R-V	0.36569374275
eIF4E-R-V	-0.45714294475
eIF4G-R-C	-0.58126453225
ER-alpha-R-V	0.29310767175
ER-alpha_pS118-R-V	0.0425738852499999
ERCC1-M-V	0.0231565582499999
ERK2-R-E	-0.46395168125
ETS-1-R-V	0.10638864575
FASN-R-V	-0.11008800075
Fibronectin-R-V	0.70310399825
FoxM1-R-V	0.47495126825
FOXO3a-R-C	0.45672008675
FOXO3a_pS318_S321-R-C	0.00384716675000002
G6PD-M-V	-0.17753377475
GAB2-R-V	-0.10369891325
GAPDH-M-C	-1.03065271525
GATA3-M-V	0.0603624057499998
GSK3-alpha-beta-M-V	-0.61124214775
GSK3-alpha-beta_pS21_S9-R-V	-0.54863031375
GSK3_pS9-R-V	-0.39244496975
HER2-M-V	1.02355534075
HER2_pY1248-R-C	0.67884985625
HER3-R-V	-0.0430277852500001
HER3_pY1289-R-C	0.31032340125
Heregulin-R-V	0.14624432825
HSP70-R-C	2.10480636625
IGFBP2-R-V	0.27256956575
INPP4B-R-V	-0.0185270957499999
IRS1-R-V	0.46709308425
JAB1-M-C	-0.0622866942500003
JNK_pT183_pY185-R-V	0.38832398525
JNK2-R-C	-0.21034413475
Ku80-R-C	-0.61240707975
Lck-R-V	-0.15606633925
LKB1-M-E	0.57421619325
MAPK_pT202_Y204-R-V	0.65180583725
MEK1-R-V	0.15838823875
MEK1_pS217_S221-R-V	0.64053687425
MIG-6-M-V	-0.0627389362500001
Mre11-R-C	0.73640700425
MSH2-M-V	-0.83408345525
MSH6-R-C	-1.24194848025
mTOR-R-V	-0.38765666425
mTOR_pS2448-R-C	-0.31101589725
MYH11-R-V	-1.33159340275
Myosin-IIa_pS1943-R-V	-0.61825268075
N-Cadherin-R-V	0.53800622175
N-Ras-M-V	0.30805170075
NDRG1_pT346-R-V	-0.17792735625
NF-kB-p65_pS536-R-C	0.60779856975
NF2-R-C	-0.46412281025
Notch1-R-V	0.40462889025
P-Cadherin-R-C	0.33066473575
p21-R-V	0.0226631127499999
p27-R-V	0.25610778375
p27_pT157-R-C	0.16147806425
p27_pT198-R-V	0.16415225875
p38_MAPK-R-V	0.0566016807499999
p38_pT180_Y182-R-V	0.19348361475
p53-R-E	0.18473181525
p62-LCK-ligand-M-C	-0.56081357625
p70S6K-R-V	-0.11170166625
p70S6K_pT389-R-V	0.53215995625
p90RSK-R-C	-0.22280028675
p90RSK_pT359_S363-R-C	0.73602081425
PAI-1-M-E	-0.31321421825
PARP_cleaved-M-E	0.0701519202499998
PARP1-R-V	-1.08114200025
Paxillin-R-C	-0.39472580825
PCNA-M-C	-0.28554008225
PDCD4-R-C	0.40657995175
PDK1-R-V	-0.0162629852500001
PDK1_pS241-R-V	-0.0857005057500001
PEA15-R-V	-0.22788556425
PEA15_pS116-R-V	0.49292963625
PI3K-p110-alpha-R-C	-0.25662542075
PI3K-p85-R-V	-0.37477921675
PKC-alpha-M-V	-0.12243786225
PKC-alpha_pS657-R-C	-0.0295671197500001
PKC-delta_pS664-R-V	-0.0717045917500002
PKC-pan_BetaII_pS660-R-V	-0.32756690175
PR-R-V	0.40352678875
PRAS40_pT246-R-V	0.0296892592499999
PRDX1-R-V	-1.36403661875
PREX1-R-E	-0.93285073975
PTEN-R-V	0.22253401075
Rab11-R-E	0.62385638325
Rab25-R-V	0.41912984725
Rad50-M-V	-0.29133572975
Rad51-R-V	1.04696533175
Raptor-R-V	-0.06357063425
Rb-M-E	0.58383854125
Rb_pS807_S811-R-V	-0.49302491075
RBM15-R-V	-0.43627523375
Rictor-R-C	-0.62824349525
Rictor_pT1135-R-V	0.81201550875
S6-R-E	-0.59649632175
S6_pS235_S236-R-V	-0.26239493525
S6_pS240_S244-R-V	-0.29768953875
SCD-M-V	-0.12529869275
SETD2-R-E	0.69720813925
SF2-M-V	-0.18099343025
Shc_pY317-R-E	-0.0352705282500004
Smac-M-E	-0.12603675875
Smad1-R-V	0.13601736425
Smad3-R-V	0.10480087325
Smad4-M-V	-0.05028457375
Snail-M-E	-0.10540220775
Src-M-V	0.28948113025
Src_pY416-R-C	-0.44345906775
Src_pY527-R-V	0.88355335575
STAT3_pY705-R-V	0.66308103975
STAT5-alpha-R-V	-0.96195261475
Stathmin-R-V	0.68615865625
Syk-M-V	-0.89192093275
TAZ-R-V	0.67823553125
TFRC-R-V	-0.77492958475
TIGAR-R-V	-0.37699728475
Transglutaminase-M-V	-0.0379170522500001
TSC1-R-C	0.59422835675
TTF1-R-V	0.58053665725
Tuberin-R-E	0.26721744675
Tuberin_pT1462-R-V	0.26605629475
VEGFR2-R-V	-0.22835551925
EPPK1-M-E	-0.71917122325
XBP1-G-C	0.05342965625
XRCC1-R-E	-0.25376708775
YAP-R-E	0.50131283075
YAP_pS127-R-E	0.78217297675
YB-1-R-V	0.22389023525
YB-1_pS102-R-V	0.39575970725
A-Raf-R-V	-0.47019702675
ARID1A-R-C	0.15700032375
B-Raf_pS445-R-V	-0.28297535175
Bcl2A1-R-V	0.85888750075
BRD4-R-V	-0.40654029225
c-Abl-R-V	0.30023426825
Caspase-3-R-C	-0.22612803425
CD26-R-V	-0.23239145975
Chk1_pS296-R-V	0.58469053925
COG3-R-V	-0.16201096875
DUSP4-R-V	-0.0848931942500005
ERCC5-R-C	-0.0508013872500002
IGF1R_pY1135_Y1136-R-V	0.43471010975
IRF-1-R-C	-0.0788158017500001
Jak2-R-V	-0.47037268675
p16_INK4a-R-V	-0.22059291475
SHP-2_pY542-R-C	0.31187294825
CDK1_pY15-R-C	0.24697601575
