Sample REF	5D6C00C9-06B1-4DC1-917E-20BEEEDD6F12
Rb_pS807_S811-R-V	-0.06575889325
RBM15-R-V	0.11674352875
Rictor-R-C	-0.02103899275
Rictor_pT1135-R-V	0.23343946025
S6-R-E	0.39470405175
S6_pS235_S236-R-V	-0.77160263575
S6_pS240_S244-R-V	-0.53466546625
SCD-M-V	0.23932351975
SETD2-R-E	0.02969991875
SF2-M-V	0.58056441425
Shc_pY317-R-E	-0.14493135775
Smac-M-E	0.57677075675
Smad1-R-V	0.0572313447500001
Smad3-R-V	0.26579407475
Smad4-M-V	-0.0103297582499999
Snail-M-E	0.26751862275
Src-M-V	-0.46679276325
Src_pY416-R-C	-0.41293578525
Src_pY527-R-V	0.29023312625
STAT3_pY705-R-V	-0.56204840975
STAT5-alpha-R-V	-0.31085320825
Stathmin-R-V	0.0608016397500001
Syk-M-V	-0.51577891425
TAZ-R-V	-0.05177364125
TFRC-R-V	-0.62630690125
TIGAR-R-V	-0.08968472325
Transglutaminase-M-V	-0.04085366975
TSC1-R-C	-0.13664255975
TTF1-R-V	0.30303143475
Tuberin-R-E	-0.00979335075000004
Tuberin_pT1462-R-V	-0.18189872275
VEGFR2-R-V	0.0498809012500002
EPPK1-M-E	-0.78761380175
XBP1-G-C	-0.13296177325
XRCC1-R-E	0.08751332475
YAP-R-E	-0.18921587375
YAP_pS127-R-E	-0.60460889575
YB-1-R-V	-0.0879633982499999
YB-1_pS102-R-V	-0.28451227025
A-Raf-R-V	-0.10499235525
ARID1A-R-C	0.21226254325
B-Raf_pS445-R-V	-0.05340970625
Bcl2A1-R-V	-0.18667057975
BRD4-R-V	0.93748743225
c-Abl-R-V	0.29009623275
Caspase-3-R-C	0.17415363225
CD26-R-V	-0.0812139092500001
Chk1_pS296-R-V	0.04688498675
COG3-R-V	-0.12801204525
DUSP4-R-V	-0.24471091175
ERCC5-R-C	0.0724643572499999
IGF1R_pY1135_Y1136-R-V	-0.05592596175
IRF-1-R-C	-0.08689947525
Jak2-R-V	0.02660514075
p16_INK4a-R-V	0.06165173075
SHP-2_pY542-R-C	-0.15515578225
CDK1_pY15-R-C	0.00741748325000005
