Sample REF	BAA727CF-5BD1-44CC-9EA5-FDE39AD5C718
Collagen_VI-R-V	-0.0827412759999999
Cyclin_B1-R-V	-0.1314576825
Cyclin_D1-R-V	-0.161974413
Cyclin_E1-M-V	-0.1417303675
Cyclin_E2-R-C	0.3641530575
DJ-1-R-E	0.123692503
Dvl3-R-V	-0.211409282
E-Cadherin-R-V	-0.9873555515
eEF2-R-C	0.093182279
eEF2K-R-V	-0.000504495499999952
EGFR-R-V	0.1195496105
EGFR_pY1068-R-C	-0.037192602
EGFR_pY1173-R-V	0.038906595
eIF4E-R-V	0.0196676725000001
eIF4G-R-C	-0.636109321
ER-alpha-R-V	0.069702226
ER-alpha_pS118-R-V	0.1620738805
ERCC1-M-V	0.1248137405
ERK2-R-E	0.359727029
ETS-1-R-V	0.195829525
FASN-R-V	-0.7729358785
Fibronectin-R-V	-0.7025978725
FoxM1-R-V	-0.5054551405
FOXO3a-R-C	0.141887252
FOXO3a_pS318_S321-R-C	0.34608433
G6PD-M-V	0.3298609095
GAB2-R-V	0.994571365
GAPDH-M-C	-0.244444851
GATA3-M-V	0.213643731
GSK3-alpha-beta-M-V	0.3440206765
GSK3-alpha-beta_pS21_S9-R-V	-0.5057600935
GSK3_pS9-R-V	-0.5951815025
HER2-M-V	-0.3647067
HER2_pY1248-R-C	-0.2049489225
HER3-R-V	-0.244314774
HER3_pY1289-R-C	-0.0448898664999999
Heregulin-R-V	-0.1248001285
HSP70-R-C	-0.3689002785
IGFBP2-R-V	0.38335888
INPP4B-R-V	0.0356247345000003
IRS1-R-V	-0.2364940485
JAB1-M-C	0.11586051
JNK_pT183_pY185-R-V	0.0241400945
JNK2-R-C	0.00587296550000005
Ku80-R-C	0.4776519625
Lck-R-V	1.158658638
LKB1-M-E	0.1193910085
MAPK_pT202_Y204-R-V	-0.2089792685
MEK1-R-V	-0.246924964
MEK1_pS217_S221-R-V	-0.0877632095
MIG-6-M-V	-0.065576629
Mre11-R-C	0.1622302365
MSH2-M-V	-0.205568753
MSH6-R-C	-0.486990075
mTOR-R-V	0.282706866
mTOR_pS2448-R-C	0.0623212600000002
MYH11-R-V	-0.3162330625
Myosin-IIa_pS1943-R-V	-0.1434819445
N-Cadherin-R-V	-0.014604745
N-Ras-M-V	0.022265299
NDRG1_pT346-R-V	0.584295171
NF-kB-p65_pS536-R-C	-0.467196567
NF2-R-C	0.0420870719999999
Notch1-R-V	-0.1280832915
P-Cadherin-R-C	0.255379334
p21-R-V	0.101297763
p27-R-V	0.439346396
p27_pT157-R-C	0.0266556535
p27_pT198-R-V	-0.00772367999999996
p38_MAPK-R-V	0.144807244
p38_pT180_Y182-R-V	-0.418422125
p53-R-E	-0.0159152604999999
p62-LCK-ligand-M-C	0.475663215
p70S6K-R-V	-0.140951082
p70S6K_pT389-R-V	0.1516537675
p90RSK-R-C	-0.0116659874999999
p90RSK_pT359_S363-R-C	-0.1691445865
PAI-1-M-E	-0.119334999
PARP_cleaved-M-E	0.1494858545
PARP1-R-V	0.653407846
Paxillin-R-C	-0.275075114
PCNA-M-C	0.02337319
PDCD4-R-C	0.750957538
PDK1-R-V	0.194355311
PDK1_pS241-R-V	0.2449130635
PEA15-R-V	0.028312601
PEA15_pS116-R-V	-0.1492237295
PI3K-p110-alpha-R-C	0.0283512885
PI3K-p85-R-V	0.5423561295
PKC-alpha-M-V	0.3933394
PKC-alpha_pS657-R-C	0.3151181985
PKC-delta_pS664-R-V	0.3913513225
PKC-pan_BetaII_pS660-R-V	0.6658619615
PR-R-V	0.020848277
PRAS40_pT246-R-V	-0.1794040255
PRDX1-R-V	0.1487152715
PREX1-R-E	0.7773003515
PTEN-R-V	0.357376208
Rab11-R-E	0.1523952525
Rab25-R-V	0.3085690945
Rad50-M-V	0.5885524535
Rad51-R-V	-0.0508884519999999
Raptor-R-V	0.266691805
Rb-M-E	-0.0293970995
Rb_pS807_S811-R-V	-0.3109987445
RBM15-R-V	0.1737214575
Rictor-R-C	-0.367551665
Rictor_pT1135-R-V	-0.154080156
S6-R-E	0.2846018935
S6_pS235_S236-R-V	0.391428437
S6_pS240_S244-R-V	0.00105872849999999
SCD-M-V	0.0192399794999998
SETD2-R-E	-0.0345772624999999
SF2-M-V	0.416488524
Shc_pY317-R-E	-0.08496726
Smac-M-E	0.8994707615
Smad1-R-V	-0.1511309825
Smad3-R-V	0.1334787295
Smad4-M-V	-0.0853622205
Snail-M-E	0.00050449549999998
Src-M-V	0.3908988885
Src_pY416-R-C	-0.3564358555
Src_pY527-R-V	-1.199852092
STAT3_pY705-R-V	0.246052449
STAT5-alpha-R-V	0.7960967295
Stathmin-R-V	-0.0235887384999999
Syk-M-V	0.7439464555
TAZ-R-V	-0.1889992755
TFRC-R-V	1.2810888505
TIGAR-R-V	-0.1022094625
Transglutaminase-M-V	-0.0859173999999999
TSC1-R-C	-0.088160147
TTF1-R-V	-0.0702550064999999
Tuberin-R-E	-0.0539458480000001
Tuberin_pT1462-R-V	-0.566560289
VEGFR2-R-V	-0.217886611
EPPK1-M-E	-0.133861926
XBP1-G-C	-0.2865838315
XRCC1-R-E	0.1436491355
YAP-R-E	-0.28341577
YAP_pS127-R-E	-0.918293624
YB-1-R-V	-0.3432331675
YB-1_pS102-R-V	-0.1633436475
A-Raf-R-V	-0.0743651364999999
ARID1A-R-C	-0.422541937
B-Raf_pS445-R-V	0.0127591835
Bcl2A1-R-V	-0.14984105
BRD4-R-V	-0.192504605
c-Abl-R-V	0.0805556365
Caspase-3-R-C	-0.03343639
CD26-R-V	-0.0159614955
Chk1_pS296-R-V	-0.00971591250000003
COG3-R-V	0.1783773785
DUSP4-R-V	-0.152668348
ERCC5-R-C	0.138949508
IGF1R_pY1135_Y1136-R-V	-0.06157081
IRF-1-R-C	0.2674135225
Jak2-R-V	0.2853407695
p16_INK4a-R-V	-0.2074582095
SHP-2_pY542-R-C	-0.1545342295
CDK1_pY15-R-C	-0.239884597
