Sample REF	87A968D3-66B3-4A46-980B-A8371A40DE40
GAPDH-M-C	-0.37715730175
GATA3-M-V	-0.0213361467500002
GSK3-alpha-beta-M-V	-0.33528381325
GSK3-alpha-beta_pS21_S9-R-V	-0.17055846225
GSK3_pS9-R-V	-0.26410412925
HER2-M-V	-0.12104853675
HER2_pY1248-R-C	0.0949553567499999
HER3-R-V	-0.30570731875
HER3_pY1289-R-C	0.10504087875
Heregulin-R-V	0.06377714775
HSP70-R-C	1.93470400675
IGFBP2-R-V	0.0759592592499999
INPP4B-R-V	-0.25442285725
IRS1-R-V	0.22529955175
JAB1-M-C	-0.08090735575
JNK_pT183_pY185-R-V	0.18717376675
JNK2-R-C	-0.00347576225000013
Ku80-R-C	-0.0917893172499999
Lck-R-V	-0.0804724947500001
LKB1-M-E	0.23497502275
MAPK_pT202_Y204-R-V	0.30988181275
MEK1-R-V	0.29509574825
MEK1_pS217_S221-R-V	0.24315445875
MIG-6-M-V	-0.00451766475000004
Mre11-R-C	0.23730034275
MSH2-M-V	-0.71470949675
MSH6-R-C	-0.92928033775
mTOR-R-V	-0.43048882375
mTOR_pS2448-R-C	-0.14203385575
MYH11-R-V	0.12165011275
Myosin-IIa_pS1943-R-V	-0.70909145325
N-Cadherin-R-V	0.15291286125
N-Ras-M-V	0.12138592825
NDRG1_pT346-R-V	0.0521163152500002
NF-kB-p65_pS536-R-C	-0.06358865475
NF2-R-C	-0.21116291375
Notch1-R-V	-0.0569832482500001
P-Cadherin-R-C	0.42273503625
p21-R-V	0.52640152425
p27-R-V	0.28298344525
p27_pT157-R-C	0.21317915975
p27_pT198-R-V	0.15260408525
p38_MAPK-R-V	-0.02775827475
p38_pT180_Y182-R-V	-0.01618625475
p53-R-E	0.07085325175
p62-LCK-ligand-M-C	-0.30724426575
p70S6K-R-V	-0.13920033875
p70S6K_pT389-R-V	1.20685233775
p90RSK-R-C	-0.55479363025
p90RSK_pT359_S363-R-C	0.0604386987500001
PAI-1-M-E	-0.32605891775
PARP_cleaved-M-E	-0.22807455525
PARP1-R-V	-0.73055125075
Paxillin-R-C	-0.48355549675
PCNA-M-C	-0.14824284375
PDCD4-R-C	0.24606752425
PDK1-R-V	0.0533715512499999
PDK1_pS241-R-V	-0.25133712725
PEA15-R-V	0.25034629125
PEA15_pS116-R-V	0.41155813175
PI3K-p110-alpha-R-C	-0.0742907042500001
PI3K-p85-R-V	-0.12178901125
PKC-alpha-M-V	0.0730404422500001
PKC-alpha_pS657-R-C	0.10152255875
PKC-delta_pS664-R-V	-0.11503294625
PKC-pan_BetaII_pS660-R-V	-0.24365713125
PR-R-V	0.26140920425
PRAS40_pT246-R-V	0.18939287175
PRDX1-R-V	-0.98905662525
PREX1-R-E	-0.26325127425
PTEN-R-V	0.29780018425
Rab11-R-E	0.36004674775
Rab25-R-V	-0.02012063425
Rad50-M-V	-0.25393194425
Rad51-R-V	-0.06541968775
Raptor-R-V	-0.0515486197499999
Rb-M-E	0.50741002975
Rb_pS807_S811-R-V	0.67329844075
RBM15-R-V	-0.48054480525
Rictor-R-C	-0.19865984975
Rictor_pT1135-R-V	0.57424200425
S6-R-E	-0.57664177525
S6_pS235_S236-R-V	0.16977122525
S6_pS240_S244-R-V	0.39454693575
SCD-M-V	-0.0868619662500003
SETD2-R-E	0.08407672775
SF2-M-V	-0.03349357475
Shc_pY317-R-E	0.11258813025
Smac-M-E	-0.65441734425
Smad1-R-V	0.00221899074999998
Smad3-R-V	-0.01567896525
Smad4-M-V	-0.10379230025
Snail-M-E	0.16274675475
Src-M-V	-0.38871136325
Src_pY416-R-C	-0.29318294625
Src_pY527-R-V	0.22611475525
STAT3_pY705-R-V	0.65641634925
STAT5-alpha-R-V	-0.42511121825
Stathmin-R-V	0.15840868875
Syk-M-V	-0.73312076425
TAZ-R-V	1.19250249275
TFRC-R-V	-1.00216935125
TIGAR-R-V	-0.0705687102500001
Transglutaminase-M-V	-0.0604616517500001
TSC1-R-C	0.33168298725
TTF1-R-V	0.05459703575
Tuberin-R-E	-0.15489148375
Tuberin_pT1462-R-V	0.26008893025
VEGFR2-R-V	-0.34229272175
EPPK1-M-E	-1.29329918675
XBP1-G-C	1.24155684875
XRCC1-R-E	-0.16367872025
YAP-R-E	0.28895846025
YAP_pS127-R-E	0.70102595925
YB-1-R-V	0.04589100575
YB-1_pS102-R-V	0.27431411475
A-Raf-R-V	0.07180665675
ARID1A-R-C	-0.10924731575
B-Raf_pS445-R-V	-0.51626707525
Bcl2A1-R-V	0.47163380425
BRD4-R-V	-0.31448470275
c-Abl-R-V	0.08185409775
Caspase-3-R-C	-0.28609615175
CD26-R-V	-0.0322046952500001
Chk1_pS296-R-V	0.09945168875
COG3-R-V	-0.10483003625
DUSP4-R-V	-0.13718163775
ERCC5-R-C	-0.17766702375
IGF1R_pY1135_Y1136-R-V	0.11079769025
IRF-1-R-C	0.49910186175
Jak2-R-V	-0.35215176325
p16_INK4a-R-V	-0.55780209525
SHP-2_pY542-R-C	0.17464465175
CDK1_pY15-R-C	0.05056301625
