Sample REF	672A4B42-5E3F-4A3B-B400-59C2D162DDD9
Cyclin_E2-R-C	-0.279844296
DJ-1-R-E	0.0686198745
Dvl3-R-V	-0.0849163875
E-Cadherin-R-V	0.808172908
eEF2-R-C	-0.2260688395
eEF2K-R-V	-0.255425783
EGFR-R-V	0.107270138
EGFR_pY1068-R-C	-0.0817360555000001
EGFR_pY1173-R-V	-0.0999376695
eIF4E-R-V	-0.00484953699999996
eIF4G-R-C	0.2808465375
ER-alpha-R-V	-0.0654350514999999
ER-alpha_pS118-R-V	-0.242470626
ERCC1-M-V	0.018870629
ERK2-R-E	-0.0569859785
ETS-1-R-V	0.0340338335
FASN-R-V	0.425190685
Fibronectin-R-V	0.845906793
FoxM1-R-V	0.254079147
FOXO3a-R-C	0.0667088115000001
FOXO3a_pS318_S321-R-C	0.0681854865000001
G6PD-M-V	-0.120907878
GAB2-R-V	-0.1857337875
GAPDH-M-C	0.4739366165
GATA3-M-V	-0.0110750485
GSK3-alpha-beta-M-V	-0.194033796
GSK3-alpha-beta_pS21_S9-R-V	-0.054522389
GSK3_pS9-R-V	0.119514101
HER2-M-V	0.1032045445
HER2_pY1248-R-C	-0.037734188
HER3-R-V	0.4994189355
HER3_pY1289-R-C	-0.041284937
Heregulin-R-V	0.132208269
HSP70-R-C	0.283492451
IGFBP2-R-V	0.7394615715
INPP4B-R-V	-0.1713569
IRS1-R-V	-0.033582336
JAB1-M-C	0.0130156335000001
JNK_pT183_pY185-R-V	-0.054973651
JNK2-R-C	0.308537792
Ku80-R-C	-0.345083976
Lck-R-V	0.2185228735
LKB1-M-E	-0.079660813
MAPK_pT202_Y204-R-V	-0.107266994
MEK1-R-V	0.2010059125
MEK1_pS217_S221-R-V	0.000387185999999984
MIG-6-M-V	0.1941652345
Mre11-R-C	0.026159124
MSH2-M-V	-0.0230091374999999
MSH6-R-C	0.0790151815000003
mTOR-R-V	-0.1501161595
mTOR_pS2448-R-C	0.0434024125000002
MYH11-R-V	-1.122416534
Myosin-IIa_pS1943-R-V	-0.105189621
N-Cadherin-R-V	-0.0716783855
N-Ras-M-V	-0.0745623915000002
NDRG1_pT346-R-V	0.2714895795
NF-kB-p65_pS536-R-C	0.3303784885
NF2-R-C	0.00443344949999996
Notch1-R-V	0.124828266
P-Cadherin-R-C	-0.0847852555
p21-R-V	-0.3374205345
p27-R-V	-0.1269962575
p27_pT157-R-C	-0.015941993
p27_pT198-R-V	-0.1186502035
p38_MAPK-R-V	0.1391741155
p38_pT180_Y182-R-V	0.2120573655
p53-R-E	-0.071615197
p62-LCK-ligand-M-C	0.1542345605
p70S6K-R-V	-0.0628604685
p70S6K_pT389-R-V	-0.0035806029999999
p90RSK-R-C	0.288435148
p90RSK_pT359_S363-R-C	0.112894519
PAI-1-M-E	1.2369639475
PARP_cleaved-M-E	-0.0606893200000002
PARP1-R-V	0.2289323275
Paxillin-R-C	0.3570757275
PCNA-M-C	0.0348141605
PDCD4-R-C	-0.7020007715
PDK1-R-V	0.1550791375
PDK1_pS241-R-V	0.256590811
PEA15-R-V	0.0604294205000001
PEA15_pS116-R-V	0.101512238
PI3K-p110-alpha-R-C	-0.18663055
PI3K-p85-R-V	-0.0243417529999999
PKC-alpha-M-V	-0.0202978315
PKC-alpha_pS657-R-C	-0.043357817
PKC-delta_pS664-R-V	0.057733415
PKC-pan_BetaII_pS660-R-V	-0.029272315
PR-R-V	0.0758344395
PRAS40_pT246-R-V	-0.056469705
PRDX1-R-V	0.146673515
PREX1-R-E	-0.320236652
PTEN-R-V	0.1014165865
Rab11-R-E	-0.0726228829999999
Rab25-R-V	-0.216273624
Rad50-M-V	-0.198592926
Rad51-R-V	-0.0276363314999999
Raptor-R-V	-0.3861716825
Rb-M-E	0.042318472
Rb_pS807_S811-R-V	0.229882705
RBM15-R-V	0.091225543
Rictor-R-C	-0.3918425245
Rictor_pT1135-R-V	0.1668769465
S6-R-E	-0.358572285
S6_pS235_S236-R-V	-0.0303976035000001
S6_pS240_S244-R-V	0.093098969
SCD-M-V	-0.170657821
SETD2-R-E	-0.033374342
SF2-M-V	-0.2676777275
Shc_pY317-R-E	0.0394043224999999
Smac-M-E	-0.285299592
Smad1-R-V	-0.131558112
Smad3-R-V	-0.179556728
Smad4-M-V	0.0438831820000001
Snail-M-E	-0.132293705
Src-M-V	-0.155602264
Src_pY416-R-C	0.284646002
Src_pY527-R-V	0.0505816015
STAT3_pY705-R-V	-0.1518576315
STAT5-alpha-R-V	0.221928531
Stathmin-R-V	0.104484646
Syk-M-V	0.465983178
TAZ-R-V	0.067067366
TFRC-R-V	0.258811057
TIGAR-R-V	-0.126278025
Transglutaminase-M-V	-0.1354409835
TSC1-R-C	-0.0117952295000001
TTF1-R-V	-0.122643345
Tuberin-R-E	-0.0288331225
Tuberin_pT1462-R-V	0.1698687655
VEGFR2-R-V	0.0352027665000001
EPPK1-M-E	0.6845352295
XBP1-G-C	0.240412021
XRCC1-R-E	-0.155879177
YAP-R-E	-0.0900605525
YAP_pS127-R-E	-0.0186520625
YB-1-R-V	0.082460832
YB-1_pS102-R-V	0.247951504
A-Raf-R-V	-0.065074259
ARID1A-R-C	0.1828377385
B-Raf_pS445-R-V	-0.204458385
Bcl2A1-R-V	0.1245825665
BRD4-R-V	-0.0944998944999999
c-Abl-R-V	-0.154010882
Caspase-3-R-C	0.0917028714999999
CD26-R-V	0.0426326999999999
Chk1_pS296-R-V	-0.00755201799999999
COG3-R-V	-0.052099168
DUSP4-R-V	0.0829572514999997
ERCC5-R-C	-0.0771783425000001
IGF1R_pY1135_Y1136-R-V	0.0605528325
IRF-1-R-C	-0.000387185999999984
Jak2-R-V	-0.170976549
p16_INK4a-R-V	0.28078716
SHP-2_pY542-R-C	0.0752604999999998
CDK1_pY15-R-C	0.1256775115
