Sample REF	E388F25B-F198-4B2F-886A-554907AB96F1
PRDX1-R-V	-0.24926141675
PREX1-R-E	0.39785482025
PTEN-R-V	-0.22899699325
Rab11-R-E	0.01001785925
Rab25-R-V	0.48579399625
Rad50-M-V	0.00465407925000005
Rad51-R-V	0.18479768775
Raptor-R-V	-0.0614779652499999
Rb-M-E	-0.10555479275
Rb_pS807_S811-R-V	-0.08562396575
RBM15-R-V	-0.10639575675
Rictor-R-C	-0.33531163825
Rictor_pT1135-R-V	0.04131099775
S6-R-E	-0.17296764875
S6_pS235_S236-R-V	0.15468326675
S6_pS240_S244-R-V	0.42035684625
SCD-M-V	0.0711017452499998
SETD2-R-E	-0.0557055237499999
SF2-M-V	0.00141420975000006
Shc_pY317-R-E	-0.13956539125
Smac-M-E	-0.47557167375
Smad1-R-V	0.08687710825
Smad3-R-V	-0.10164678875
Smad4-M-V	0.0317402342499999
Snail-M-E	-0.37673466875
Src-M-V	0.19951718025
Src_pY416-R-C	0.29346324625
Src_pY527-R-V	0.42299314075
STAT3_pY705-R-V	-0.85199150025
STAT5-alpha-R-V	-1.17986052775
Stathmin-R-V	-0.02265327475
Syk-M-V	-0.70495045775
TAZ-R-V	-0.04192437075
TFRC-R-V	0.25814365425
TIGAR-R-V	-0.12028244275
Transglutaminase-M-V	-0.16866267025
TSC1-R-C	0.17829744575
TTF1-R-V	-0.07145587175
Tuberin-R-E	0.0918447017499999
Tuberin_pT1462-R-V	0.34663425175
VEGFR2-R-V	0.0993169877500001
EPPK1-M-E	1.20257667175
XBP1-G-C	-0.38099646775
XRCC1-R-E	0.19296750525
YAP-R-E	0.41106366675
YAP_pS127-R-E	0.42438830175
YB-1-R-V	0.33493910425
YB-1_pS102-R-V	0.32859119425
A-Raf-R-V	-0.16757307275
ARID1A-R-C	0.45618562275
B-Raf_pS445-R-V	0.39931025925
Bcl2A1-R-V	0.24712295075
BRD4-R-V	-0.0515376332499999
c-Abl-R-V	-0.07481572175
Caspase-3-R-C	0.0351211167499998
CD26-R-V	0.24741060525
Chk1_pS296-R-V	-0.02133840375
COG3-R-V	-0.02252561375
DUSP4-R-V	1.53604650175
ERCC5-R-C	-0.00651482425000005
IGF1R_pY1135_Y1136-R-V	-0.09300607625
IRF-1-R-C	-0.00250919775000003
Jak2-R-V	-0.10001391775
p16_INK4a-R-V	-0.53735035575
SHP-2_pY542-R-C	0.0256267002499999
CDK1_pY15-R-C	0.03835703475
