Sample REF	AD82330B-AF41-4421-A195-02DC453E2099
MEK1-R-V	-0.36020376725
MEK1_pS217_S221-R-V	-0.15836381575
MIG-6-M-V	-0.00222332724999996
Mre11-R-C	0.0175238342500001
MSH2-M-V	0.16363336175
MSH6-R-C	-0.0677487282499997
mTOR-R-V	0.42649218975
mTOR_pS2448-R-C	0.0523600647500002
MYH11-R-V	-0.68628630175
Myosin-IIa_pS1943-R-V	0.00713383525000005
N-Cadherin-R-V	-0.10538539325
N-Ras-M-V	0.0273203607499999
NDRG1_pT346-R-V	0.96485619675
NF-kB-p65_pS536-R-C	-0.71587053725
NF2-R-C	0.31274202175
Notch1-R-V	-0.17866311375
P-Cadherin-R-C	-0.15344443425
p21-R-V	0.49820987275
p27-R-V	0.15012417475
p27_pT157-R-C	-0.0879090347499999
p27_pT198-R-V	-0.00653459824999997
p38_MAPK-R-V	0.18977797175
p38_pT180_Y182-R-V	-0.25392225925
p53-R-E	0.00243351425000032
p62-LCK-ligand-M-C	0.46365467975
p70S6K-R-V	0.01015299075
p70S6K_pT389-R-V	0.0834134102500002
p90RSK-R-C	-0.0282332027499999
p90RSK_pT359_S363-R-C	-0.35831961375
PAI-1-M-E	-0.0234507752499999
PARP_cleaved-M-E	0.17491443825
PARP1-R-V	0.56122802075
Paxillin-R-C	-0.43007051125
PCNA-M-C	0.06109118175
PDCD4-R-C	0.72336195175
PDK1-R-V	0.14628168275
PDK1_pS241-R-V	0.23429453725
PEA15-R-V	0.000676865749999978
PEA15_pS116-R-V	-0.15908214975
PI3K-p110-alpha-R-C	0.10993888325
PI3K-p85-R-V	0.52971449925
PKC-alpha-M-V	0.13789504275
PKC-alpha_pS657-R-C	0.0651762282500001
PKC-delta_pS664-R-V	0.30634380325
PKC-pan_BetaII_pS660-R-V	0.74391275125
PR-R-V	-0.00182446924999996
PRAS40_pT246-R-V	-0.10206818675
PRDX1-R-V	0.58047803725
PREX1-R-E	1.05451445125
PTEN-R-V	0.15032111575
Rab11-R-E	-0.00545757974999989
Rab25-R-V	0.58778193125
Rad50-M-V	0.33781894625
Rad51-R-V	-0.47076446425
Raptor-R-V	0.42928928975
Rb-M-E	-0.02122973675
Rb_pS807_S811-R-V	-0.32419639975
RBM15-R-V	0.13507316525
Rictor-R-C	-0.27867698525
Rictor_pT1135-R-V	-0.19846333025
S6-R-E	0.25674796225
S6_pS235_S236-R-V	0.33690411675
S6_pS240_S244-R-V	0.02926911625
SCD-M-V	0.18271525025
SETD2-R-E	-0.12640355775
SF2-M-V	0.32292776775
Shc_pY317-R-E	0.0933316957499999
Smac-M-E	0.59631209725
Smad1-R-V	-0.15274643975
Smad3-R-V	0.04557274125
Smad4-M-V	-0.10078315975
Snail-M-E	0.01182677825
Src-M-V	0.94599574025
Src_pY416-R-C	-0.25455693175
Src_pY527-R-V	-0.94256786125
STAT3_pY705-R-V	0.24395810275
STAT5-alpha-R-V	0.61646274325
Stathmin-R-V	-0.17364109875
Syk-M-V	0.93926135125
TAZ-R-V	-0.18073465675
TFRC-R-V	1.72085849525
TIGAR-R-V	0.01305145225
Transglutaminase-M-V	0.12944919275
TSC1-R-C	-0.04075444825
TTF1-R-V	-0.0786576837499999
Tuberin-R-E	-0.0680070462499999
Tuberin_pT1462-R-V	-0.49624323525
VEGFR2-R-V	-0.0993530522499999
EPPK1-M-E	-1.00958319525
XBP1-G-C	-0.24704671875
XRCC1-R-E	0.26098727025
YAP-R-E	-0.13360899525
YAP_pS127-R-E	-0.54882250325
YB-1-R-V	-0.30253361775
YB-1_pS102-R-V	-0.25208825375
A-Raf-R-V	0.27372446225
ARID1A-R-C	-0.22873507125
B-Raf_pS445-R-V	-0.0845440317499999
Bcl2A1-R-V	-0.34727002625
BRD4-R-V	-0.22055993925
c-Abl-R-V	0.04349472925
Caspase-3-R-C	-0.00638179025000002
CD26-R-V	-0.0192610307500001
Chk1_pS296-R-V	-0.11391079875
COG3-R-V	0.06738030425
DUSP4-R-V	-0.20113049225
ERCC5-R-C	0.14987386775
IGF1R_pY1135_Y1136-R-V	-0.03276662125
IRF-1-R-C	0.10322780025
Jak2-R-V	0.33137344625
p16_INK4a-R-V	-0.16077597075
SHP-2_pY542-R-C	-0.19750645175
CDK1_pY15-R-C	-0.37281598725
