Sample REF	7AF1B59F-6168-4909-A2B2-51EAAEAD465B
Tuberin-R-E	0.36483943925
Tuberin_pT1462-R-V	-0.12946135675
VEGFR2-R-V	-0.11275403975
EPPK1-M-E	1.16098395225
XBP1-G-C	-0.28201409525
XRCC1-R-E	0.24213473175
YAP-R-E	-0.12222170975
YAP_pS127-R-E	-0.48408858875
YB-1-R-V	-0.12362738525
YB-1_pS102-R-V	-0.19455511925
A-Raf-R-V	0.09606727075
ARID1A-R-C	0.34556596125
B-Raf_pS445-R-V	0.42395183275
Bcl2A1-R-V	-0.11355063475
BRD4-R-V	0.27314554625
c-Abl-R-V	0.28910610675
Caspase-3-R-C	0.18825285625
CD26-R-V	-0.02494805925
Chk1_pS296-R-V	0.0824968287500001
COG3-R-V	-0.00905586024999994
DUSP4-R-V	-0.14748666875
ERCC5-R-C	0.09352465225
IGF1R_pY1135_Y1136-R-V	-0.0170521197499999
IRF-1-R-C	-0.05549480525
Jak2-R-V	0.00179576175000004
p16_INK4a-R-V	0.25762398875
SHP-2_pY542-R-C	-0.15600853625
CDK1_pY15-R-C	0.27617286825
