Sample REF	3A6A2C20-768D-44A6-9A60-8E06B938C7DD
FOXO3a-R-C	0.07542331725
FOXO3a_pS318_S321-R-C	-0.0115600527499999
G6PD-M-V	0.10950133875
GAB2-R-V	-0.38621116075
GAPDH-M-C	0.35901194425
GATA3-M-V	-0.04185677875
GSK3-alpha-beta-M-V	-0.30832670325
GSK3-alpha-beta_pS21_S9-R-V	-0.09494296925
GSK3_pS9-R-V	0.23850181575
HER2-M-V	0.37726589825
HER2_pY1248-R-C	0.0415893207499999
HER3-R-V	0.66986605525
HER3_pY1289-R-C	0.06855352575
Heregulin-R-V	0.05912472275
HSP70-R-C	0.92311003775
IGFBP2-R-V	0.68121415525
INPP4B-R-V	-0.17338564525
IRS1-R-V	0.0592786277500001
JAB1-M-C	-0.00695584675000022
JNK_pT183_pY185-R-V	0.22251122475
JNK2-R-C	0.05154160675
Ku80-R-C	-0.61415929825
Lck-R-V	-0.51818483775
LKB1-M-E	0.15416720175
MAPK_pT202_Y204-R-V	1.16519831675
MEK1-R-V	0.35688872125
MEK1_pS217_S221-R-V	0.38844617475
MIG-6-M-V	0.08749447125
Mre11-R-C	0.09233084175
MSH2-M-V	-0.37710500575
MSH6-R-C	-0.70458717675
mTOR-R-V	-0.65191564075
mTOR_pS2448-R-C	-0.0100534957499999
MYH11-R-V	-1.41070851725
Myosin-IIa_pS1943-R-V	0.45016793875
N-Cadherin-R-V	0.12499324025
N-Ras-M-V	0.10063929125
NDRG1_pT346-R-V	0.89340964525
NF-kB-p65_pS536-R-C	0.14554327425
NF2-R-C	-0.23368765575
Notch1-R-V	0.06185696075
P-Cadherin-R-C	-0.07825555675
p21-R-V	0.40639755025
p27-R-V	-0.14465903475
p27_pT157-R-C	-0.14780029425
p27_pT198-R-V	-0.25911965475
p38_MAPK-R-V	0.31916846525
p38_pT180_Y182-R-V	0.34880416525
p53-R-E	0.10220666075
p62-LCK-ligand-M-C	0.00533618925000001
p70S6K-R-V	-0.04513822975
p70S6K_pT389-R-V	0.00335126875000008
p90RSK-R-C	0.19254293875
p90RSK_pT359_S363-R-C	0.45816820775
PAI-1-M-E	1.53656583025
PARP_cleaved-M-E	-0.30032336625
PARP1-R-V	-1.03879511875
Paxillin-R-C	-0.28418969775
PCNA-M-C	-0.09785934875
PDCD4-R-C	-0.61848021875
PDK1-R-V	0.14511943525
PDK1_pS241-R-V	0.08351643475
PEA15-R-V	-0.28624730275
PEA15_pS116-R-V	-0.10944672125
PI3K-p110-alpha-R-C	-0.00590580324999995
PI3K-p85-R-V	-0.26651366925
PKC-alpha-M-V	-0.0101128357499999
PKC-alpha_pS657-R-C	-0.11503147725
PKC-delta_pS664-R-V	-0.57301230425
PKC-pan_BetaII_pS660-R-V	0.35175804475
PR-R-V	0.01144583725
PRAS40_pT246-R-V	0.05195095675
PRDX1-R-V	-0.69599543325
PREX1-R-E	-0.33304438925
PTEN-R-V	-0.02329531675
Rab11-R-E	0.10844982175
Rab25-R-V	0.29822066375
Rad50-M-V	-0.19859467925
Rad51-R-V	0.44858494325
Raptor-R-V	-0.16410796875
Rb-M-E	0.06397647275
Rb_pS807_S811-R-V	0.13913029875
RBM15-R-V	-0.51349844625
Rictor-R-C	-0.50543662375
Rictor_pT1135-R-V	0.25648485325
S6-R-E	-0.63213675125
S6_pS235_S236-R-V	1.06468593325
S6_pS240_S244-R-V	0.73499121775
SCD-M-V	-0.0154945082500003
SETD2-R-E	0.12767924275
SF2-M-V	-0.0493660407500001
Shc_pY317-R-E	-0.0712592747500001
Smac-M-E	-0.34605995125
Smad1-R-V	-0.22447044025
Smad3-R-V	-0.20074616125
Smad4-M-V	-0.0284574782500001
Snail-M-E	-0.10697060325
Src-M-V	-0.0261482042499999
Src_pY416-R-C	0.50820256075
Src_pY527-R-V	0.38404017425
STAT3_pY705-R-V	0.42289916325
STAT5-alpha-R-V	-0.86681030625
Stathmin-R-V	0.12631348775
Syk-M-V	0.14620166775
TAZ-R-V	0.21991631575
TFRC-R-V	0.41938774475
TIGAR-R-V	-0.06312484225
Transglutaminase-M-V	0.12935606125
TSC1-R-C	0.07403072025
TTF1-R-V	-0.0356884002499999
Tuberin-R-E	-0.31034398175
Tuberin_pT1462-R-V	0.38646779425
VEGFR2-R-V	0.0323296262500001
EPPK1-M-E	0.47297067025
XBP1-G-C	-0.29549457225
XRCC1-R-E	-0.10538693725
YAP-R-E	0.20231930025
YAP_pS127-R-E	0.29824015925
YB-1-R-V	0.0851135207500001
YB-1_pS102-R-V	0.47771006675
A-Raf-R-V	0.14599060175
ARID1A-R-C	-0.15817268275
B-Raf_pS445-R-V	-0.11092406225
Bcl2A1-R-V	0.50522598925
BRD4-R-V	-0.54426979775
c-Abl-R-V	-0.04552335425
Caspase-3-R-C	0.0292859082499998
CD26-R-V	0.10772592875
Chk1_pS296-R-V	0.08875102275
COG3-R-V	-0.40576595925
DUSP4-R-V	0.20232167925
ERCC5-R-C	0.16949194925
IGF1R_pY1135_Y1136-R-V	-0.02762927475
IRF-1-R-C	-0.08810751125
Jak2-R-V	-0.58564213825
p16_INK4a-R-V	0.41443317775
SHP-2_pY542-R-C	0.50069445975
CDK1_pY15-R-C	0.19707753125
