Sample REF	E5AC3DE9-2876-4028-9669-AA034C90D038
CD26-R-V	0.20527931575
Chk1_pS296-R-V	-0.15936820925
COG3-R-V	0.31035022275
DUSP4-R-V	-0.0734997527500002
ERCC5-R-C	0.17119395925
IGF1R_pY1135_Y1136-R-V	0.01555550625
IRF-1-R-C	-0.04668839225
Jak2-R-V	-0.15656969525
p16_INK4a-R-V	0.21164709275
SHP-2_pY542-R-C	-0.17150870425
CDK1_pY15-R-C	-0.41034532375
