Sample REF	ABADAFBE-7717-479F-AD32-8B1C6C0FF231
EGFR_pY1068-R-C	-0.13816687775
EGFR_pY1173-R-V	-0.13360132175
eIF4E-R-V	0.06239618275
eIF4G-R-C	0.19463567125
ER-alpha-R-V	-0.0525911657500001
ER-alpha_pS118-R-V	-0.21648150925
ERCC1-M-V	-0.01871196325
ERK2-R-E	0.15198048525
ETS-1-R-V	-0.0184581037500001
FASN-R-V	0.24456825575
Fibronectin-R-V	0.0888141847500001
FoxM1-R-V	-0.16508655025
FOXO3a-R-C	-0.0366433497499999
FOXO3a_pS318_S321-R-C	0.0791647822500001
G6PD-M-V	0.27129310175
GAB2-R-V	-0.24415267775
GAPDH-M-C	0.23452692425
GATA3-M-V	-0.06833570775
GSK3-alpha-beta-M-V	0.05357305975
GSK3-alpha-beta_pS21_S9-R-V	0.18480494375
GSK3_pS9-R-V	0.18696549975
HER2-M-V	0.14537574425
HER2_pY1248-R-C	-0.20434185325
HER3-R-V	-0.15420807075
HER3_pY1289-R-C	-0.09521333225
Heregulin-R-V	-0.11355733825
HSP70-R-C	-0.18555154425
IGFBP2-R-V	0.20904616525
INPP4B-R-V	-0.11321756025
IRS1-R-V	-0.11182764825
JAB1-M-C	-0.0502574167500001
JNK_pT183_pY185-R-V	-0.0627196592500001
JNK2-R-C	0.20084061875
Ku80-R-C	-0.0656688002499999
Lck-R-V	0.09797535325
LKB1-M-E	-0.08823728125
MAPK_pT202_Y204-R-V	-0.0352779982500001
MEK1-R-V	0.11165007825
MEK1_pS217_S221-R-V	-0.08495881425
MIG-6-M-V	-0.08214717175
Mre11-R-C	-0.0915393482499999
MSH2-M-V	0.06093250325
MSH6-R-C	0.13405894325
mTOR-R-V	-0.03254614675
mTOR_pS2448-R-C	0.25116448325
MYH11-R-V	2.24557704375
Myosin-IIa_pS1943-R-V	0.06716247475
N-Cadherin-R-V	-0.11752207175
N-Ras-M-V	-0.06377770575
NDRG1_pT346-R-V	0.54985699125
NF-kB-p65_pS536-R-C	0.18076664725
NF2-R-C	0.10340291725
Notch1-R-V	-0.11420560325
P-Cadherin-R-C	-0.02713319475
p21-R-V	0.08990963125
p27-R-V	0.24817459625
p27_pT157-R-C	-0.04303590725
p27_pT198-R-V	-0.06403417475
p38_MAPK-R-V	0.12058089425
p38_pT180_Y182-R-V	0.23728873725
p53-R-E	-0.0497053292499997
p62-LCK-ligand-M-C	0.01948120725
p70S6K-R-V	0.09352881125
p70S6K_pT389-R-V	-0.18470976325
p90RSK-R-C	0.14743727175
p90RSK_pT359_S363-R-C	-0.11176504425
PAI-1-M-E	1.28223874225
PARP_cleaved-M-E	-0.0945462592500002
PARP1-R-V	-0.26730586375
Paxillin-R-C	0.16418624325
PCNA-M-C	-0.0448126647500001
PDCD4-R-C	-0.03555871175
PDK1-R-V	0.18877359625
PDK1_pS241-R-V	0.27298025575
PEA15-R-V	0.43858381225
PEA15_pS116-R-V	0.11567911075
PI3K-p110-alpha-R-C	0.07871457175
PI3K-p85-R-V	0.0848606987500001
PKC-alpha-M-V	0.56789824525
PKC-alpha_pS657-R-C	0.58390641675
PKC-delta_pS664-R-V	0.01543662575
PKC-pan_BetaII_pS660-R-V	0.16596965375
PR-R-V	-0.03606873075
PRAS40_pT246-R-V	0.01291782275
PRDX1-R-V	-0.07135282625
PREX1-R-E	-0.26786087225
PTEN-R-V	0.13265488925
Rab11-R-E	-0.01434778025
Rab25-R-V	0.16795471675
Rad50-M-V	-0.15362033625
Rad51-R-V	-0.26212946575
Raptor-R-V	-0.0892090347499999
Rb-M-E	-0.07449108225
Rb_pS807_S811-R-V	-0.01794037625
RBM15-R-V	-0.27028047425
Rictor-R-C	0.55223765225
Rictor_pT1135-R-V	0.08032191325
S6-R-E	-0.20845435925
S6_pS235_S236-R-V	0.30598808325
S6_pS240_S244-R-V	0.40480416075
SCD-M-V	-0.14504656025
SETD2-R-E	-0.20257186425
SF2-M-V	-0.01623921775
Shc_pY317-R-E	0.0191098902499999
Smac-M-E	0.00146523874999999
Smad1-R-V	-0.04731772125
Smad3-R-V	-0.09791421025
Smad4-M-V	-0.02344919225
Snail-M-E	0.10152449575
Src-M-V	0.13661798275
Src_pY416-R-C	-0.06860679425
Src_pY527-R-V	0.56947611225
STAT3_pY705-R-V	0.14545582725
STAT5-alpha-R-V	0.33244544175
Stathmin-R-V	-0.12728813325
Syk-M-V	0.32198434975
TAZ-R-V	-0.00224486825
TFRC-R-V	0.10093694275
TIGAR-R-V	-0.17031419825
Transglutaminase-M-V	-0.04712743675
TSC1-R-C	0.16445520225
TTF1-R-V	-0.18545803725
Tuberin-R-E	-0.04183332975
Tuberin_pT1462-R-V	0.27446225625
VEGFR2-R-V	-0.0632204917499999
EPPK1-M-E	0.86552397625
XBP1-G-C	0.36583225375
XRCC1-R-E	-0.17751599025
YAP-R-E	-5.18737500000144e-05
YAP_pS127-R-E	0.08595284325
YB-1-R-V	0.06342296675
YB-1_pS102-R-V	-0.10029731825
A-Raf-R-V	-0.03780694625
ARID1A-R-C	-0.02261817375
B-Raf_pS445-R-V	0.08279472975
Bcl2A1-R-V	-0.05888930675
BRD4-R-V	-0.14907805475
c-Abl-R-V	-0.0665409762500001
Caspase-3-R-C	-0.05470593075
CD26-R-V	0.0641092907499999
Chk1_pS296-R-V	-0.07885792125
COG3-R-V	0.12775954375
DUSP4-R-V	0.0358121332499998
ERCC5-R-C	0.0447725762499999
IGF1R_pY1135_Y1136-R-V	-0.10456993175
IRF-1-R-C	-0.08518012025
Jak2-R-V	-0.15682963125
p16_INK4a-R-V	-0.06995309625
SHP-2_pY542-R-C	-0.0700122452500001
CDK1_pY15-R-C	-0.19487690475
