Sample REF	CA387590-A18C-4248-B6BE-4FBD5CC15B43
N-Cadherin-R-V	0.15405765375
N-Ras-M-V	0.05723327775
NDRG1_pT346-R-V	0.83842230175
NF-kB-p65_pS536-R-C	0.19276813575
NF2-R-C	-0.24432980225
Notch1-R-V	0.26498655425
P-Cadherin-R-C	-0.09589468625
p21-R-V	0.11560872575
p27-R-V	-0.11006244025
p27_pT157-R-C	0.0472194902500001
p27_pT198-R-V	-0.0831331662499999
p38_MAPK-R-V	0.01005962175
p38_pT180_Y182-R-V	-0.25946512425
p53-R-E	0.28731602425
p62-LCK-ligand-M-C	-0.00274828324999987
p70S6K-R-V	-0.0553239822499999
p70S6K_pT389-R-V	0.15996027025
p90RSK-R-C	0.28800277125
p90RSK_pT359_S363-R-C	0.48714202025
PAI-1-M-E	1.16955927575
PARP_cleaved-M-E	-0.10142865075
PARP1-R-V	-0.28099910725
Paxillin-R-C	0.11044244675
PCNA-M-C	-0.15144645825
PDCD4-R-C	-0.60203641225
PDK1-R-V	-0.0670439302499999
PDK1_pS241-R-V	-0.20805273175
PEA15-R-V	-0.15815872025
PEA15_pS116-R-V	0.13198235025
PI3K-p110-alpha-R-C	-0.0643271637499999
PI3K-p85-R-V	-0.0737037287499999
PKC-alpha-M-V	-0.0143562792499999
PKC-alpha_pS657-R-C	-0.12807408875
PKC-delta_pS664-R-V	-0.20164140475
PKC-pan_BetaII_pS660-R-V	-0.24464792275
PR-R-V	0.0367470577500001
PRAS40_pT246-R-V	0.0642086352500001
PRDX1-R-V	-0.32817372975
PREX1-R-E	-0.45385745575
PTEN-R-V	-0.31470392125
Rab11-R-E	0.22786288925
Rab25-R-V	-0.0763247597500001
Rad50-M-V	-0.33297278375
Rad51-R-V	0.52429385575
Raptor-R-V	-0.20880456425
Rb-M-E	0.0320515322500001
Rb_pS807_S811-R-V	-0.16189840175
RBM15-R-V	-0.11041183675
Rictor-R-C	-0.15690726825
Rictor_pT1135-R-V	-0.04770986925
S6-R-E	-0.34211567475
S6_pS235_S236-R-V	0.68468698275
S6_pS240_S244-R-V	0.56393686425
SCD-M-V	-0.07473058575
SETD2-R-E	0.0789143162500001
SF2-M-V	-0.16654241325
Shc_pY317-R-E	-0.11487295925
Smac-M-E	-0.49092232975
Smad1-R-V	0.0457850822500001
Smad3-R-V	-0.0925014627499998
Smad4-M-V	-0.000412791749999863
Snail-M-E	-0.21183585775
Src-M-V	-0.0091167527499999
Src_pY416-R-C	-0.00866568574999982
Src_pY527-R-V	0.19829385575
STAT3_pY705-R-V	0.36096547375
STAT5-alpha-R-V	-0.37598038175
Stathmin-R-V	0.22079017725
Syk-M-V	-0.13364013775
TAZ-R-V	0.19610972325
TFRC-R-V	0.02453375425
TIGAR-R-V	-0.28009046475
Transglutaminase-M-V	-0.00615093124999994
TSC1-R-C	-0.17110444025
TTF1-R-V	-0.0327565717499999
Tuberin-R-E	-0.15996616325
Tuberin_pT1462-R-V	0.20309011675
VEGFR2-R-V	-0.18472251825
EPPK1-M-E	0.39820578775
XBP1-G-C	0.15249026825
XRCC1-R-E	-0.20695218675
YAP-R-E	0.14676151875
YAP_pS127-R-E	0.0918413957500001
YB-1-R-V	0.0506034352500001
YB-1_pS102-R-V	0.16047050925
A-Raf-R-V	-0.0959555867499999
ARID1A-R-C	0.0231139927500001
B-Raf_pS445-R-V	-0.0392386347499999
Bcl2A1-R-V	0.50766257475
BRD4-R-V	-0.46198605625
c-Abl-R-V	-0.0224967817499999
Caspase-3-R-C	0.21211512775
CD26-R-V	0.10501245225
Chk1_pS296-R-V	0.16108000025
COG3-R-V	-0.17049001575
DUSP4-R-V	0.43071065075
ERCC5-R-C	0.05119504475
IGF1R_pY1135_Y1136-R-V	0.10398016775
IRF-1-R-C	0.0663965032500001
Jak2-R-V	-0.35491343975
p16_INK4a-R-V	0.45785606025
SHP-2_pY542-R-C	0.06826070025
CDK1_pY15-R-C	0.18773839375
