Sample REF	7C0ACF92-67F1-4542-B285-79F4ACCB64CB
Smac-M-E	-0.125600548
Smad1-R-V	-0.069879301
Smad3-R-V	0.125516335
Smad4-M-V	-0.128628854
Snail-M-E	0.271611128
Src-M-V	0.253369643
Src_pY416-R-C	0.204929802
Src_pY527-R-V	-0.0946442475
STAT3_pY705-R-V	0.4258100335
STAT5-alpha-R-V	0.70320844
Stathmin-R-V	-0.025594935
Syk-M-V	0.689619586
TAZ-R-V	-0.071187062
TFRC-R-V	0.596916576
TIGAR-R-V	-0.00921176900000006
Transglutaminase-M-V	-0.0123341665
TSC1-R-C	-0.0189662785000001
TTF1-R-V	0.113588967
Tuberin-R-E	-0.1540401185
Tuberin_pT1462-R-V	0.0247835695
VEGFR2-R-V	-0.2040251035
EPPK1-M-E	-0.4149879205
XBP1-G-C	0.714038666
XRCC1-R-E	-0.169000311
YAP-R-E	-0.1052882245
YAP_pS127-R-E	-0.0636398025
YB-1-R-V	-0.000639846000000027
YB-1_pS102-R-V	-0.116751687
A-Raf-R-V	-0.018906423
ARID1A-R-C	0.0574870205
B-Raf_pS445-R-V	-0.081821982
Bcl2A1-R-V	0.0165589865
BRD4-R-V	-0.3474521285
c-Abl-R-V	-0.0455143190000001
Caspase-3-R-C	-0.0861066635000001
CD26-R-V	0.0418378619999999
Chk1_pS296-R-V	-0.00296307300000001
COG3-R-V	-0.093370938
DUSP4-R-V	-0.0843076015000004
ERCC5-R-C	0.00621086849999994
IGF1R_pY1135_Y1136-R-V	-0.0226701485000001
IRF-1-R-C	0.254321242
Jak2-R-V	0.186062399
p16_INK4a-R-V	0.0269253769999999
SHP-2_pY542-R-C	-0.106087439
CDK1_pY15-R-C	-0.0378949305
