Sample REF	691D928E-0A6B-400C-B5E5-3F4FDCB0DF31
Rab25-R-V	0.31348039425
Rad50-M-V	-0.0573116517500001
Rad51-R-V	0.55837149475
Raptor-R-V	-0.06243884825
Rb-M-E	0.01604164125
Rb_pS807_S811-R-V	-0.27710282475
RBM15-R-V	-0.43278212775
Rictor-R-C	0.06865568775
Rictor_pT1135-R-V	0.25294885075
S6-R-E	-0.41208606575
S6_pS235_S236-R-V	0.0159561177499998
S6_pS240_S244-R-V	0.27372416925
SCD-M-V	-0.14058019975
SETD2-R-E	0.13019883725
SF2-M-V	-0.0936201322500001
Shc_pY317-R-E	-0.0140804512499999
Smac-M-E	-0.16343212875
Smad1-R-V	0.00954701125000001
Smad3-R-V	-0.16827490375
Smad4-M-V	-0.07975977675
Snail-M-E	-0.46402439675
Src-M-V	0.36421372125
Src_pY416-R-C	0.0314536062500002
Src_pY527-R-V	0.50329756875
STAT3_pY705-R-V	0.09197332075
STAT5-alpha-R-V	-0.40782047675
Stathmin-R-V	0.18435688625
Syk-M-V	0.0562973792499998
TAZ-R-V	0.14296168325
TFRC-R-V	-0.65780047975
TIGAR-R-V	-0.15636217375
Transglutaminase-M-V	0.03902917575
TSC1-R-C	0.31355026775
TTF1-R-V	-0.00966330775000002
Tuberin-R-E	0.19162021875
Tuberin_pT1462-R-V	0.41153829075
VEGFR2-R-V	-0.11516268025
EPPK1-M-E	-0.50123004725
XBP1-G-C	-0.12393276375
XRCC1-R-E	-0.01445711375
YAP-R-E	0.23743229775
YAP_pS127-R-E	0.49569736675
YB-1-R-V	0.23462132325
YB-1_pS102-R-V	0.13406072625
A-Raf-R-V	-0.12737815775
ARID1A-R-C	-0.02475374025
B-Raf_pS445-R-V	-0.03904256775
Bcl2A1-R-V	0.41545340275
BRD4-R-V	-0.21463031925
c-Abl-R-V	0.0333201682499999
Caspase-3-R-C	-0.12985359325
CD26-R-V	0.0318014562499999
Chk1_pS296-R-V	0.0494192342499999
COG3-R-V	-0.00685787674999999
DUSP4-R-V	0.16773363075
ERCC5-R-C	-0.0508156342500001
IGF1R_pY1135_Y1136-R-V	-0.13012696925
IRF-1-R-C	0.11494718825
Jak2-R-V	-0.11941543575
p16_INK4a-R-V	-0.0679944647500001
SHP-2_pY542-R-C	0.21033535225
CDK1_pY15-R-C	0.01644185875
