Sample REF	77A63384-A591-43F2-80D3-E35FED6DC28F
Chk2-M-E	0.42359337975
Chk2_pT68-R-C	0.20084263675
cIAP-R-V	0.21701761775
Claudin-7-R-V	-0.57021641575
Collagen_VI-R-V	0.26581839575
Cyclin_B1-R-V	-0.0809018727500001
Cyclin_D1-R-V	0.39141393075
Cyclin_E1-M-V	-0.04696494675
Cyclin_E2-R-C	0.54995311725
DJ-1-R-E	0.13475241475
Dvl3-R-V	-0.17606922925
E-Cadherin-R-V	-1.55523670475
eEF2-R-C	-0.15590706725
eEF2K-R-V	0.23258334725
EGFR-R-V	-0.20205274475
EGFR_pY1068-R-C	0.13336099075
EGFR_pY1173-R-V	0.000661890749999949
eIF4E-R-V	-0.02192066275
eIF4G-R-C	-0.19453387225
ER-alpha-R-V	0.24215494675
ER-alpha_pS118-R-V	0.25433608525
ERCC1-M-V	-0.0856501557500001
ERK2-R-E	0.22763584075
ETS-1-R-V	0.00415537374999991
FASN-R-V	-0.44165435575
Fibronectin-R-V	-0.91106865575
FoxM1-R-V	-0.25705977675
FOXO3a-R-C	0.11380899075
FOXO3a_pS318_S321-R-C	-0.0615878802499999
G6PD-M-V	0.10574069225
GAB2-R-V	0.75201364975
GAPDH-M-C	-0.16961238125
GATA3-M-V	0.19713377375
GSK3-alpha-beta-M-V	-0.11050068675
GSK3-alpha-beta_pS21_S9-R-V	0.23395319325
GSK3_pS9-R-V	-0.00261598175000005
HER2-M-V	-0.13603895225
HER2_pY1248-R-C	0.06453449625
HER3-R-V	-0.24845878725
HER3_pY1289-R-C	0.11897182025
Heregulin-R-V	-0.0929410087500001
HSP70-R-C	-0.11950938975
IGFBP2-R-V	-0.21534440625
INPP4B-R-V	0.14795946525
IRS1-R-V	-0.23956849375
JAB1-M-C	0.03327176575
JNK_pT183_pY185-R-V	-0.16504827875
JNK2-R-C	0.18696834325
Ku80-R-C	0.11525266325
Lck-R-V	0.46403705475
LKB1-M-E	0.0452609762499999
MAPK_pT202_Y204-R-V	0.13448613625
MEK1-R-V	0.37904563975
MEK1_pS217_S221-R-V	-0.0971805757500001
MIG-6-M-V	0.00764873574999997
Mre11-R-C	0.04746256225
MSH2-M-V	-0.17101327725
MSH6-R-C	-0.30139748125
mTOR-R-V	0.06759541475
mTOR_pS2448-R-C	0.11195968675
MYH11-R-V	-0.68496463375
Myosin-IIa_pS1943-R-V	0.15264140125
N-Cadherin-R-V	-0.03323056025
N-Ras-M-V	0.0762333667499999
NDRG1_pT346-R-V	1.20011164375
NF-kB-p65_pS536-R-C	0.0921222557499999
NF2-R-C	-0.16996437625
Notch1-R-V	0.05252606925
P-Cadherin-R-C	-0.01164698225
p21-R-V	0.27800675275
p27-R-V	0.21815015475
p27_pT157-R-C	-0.04662323375
p27_pT198-R-V	0.04358242775
p38_MAPK-R-V	0.38028773675
p38_pT180_Y182-R-V	0.37880465575
p53-R-E	0.14313748025
p62-LCK-ligand-M-C	0.25868261875
p70S6K-R-V	-0.0328848762500001
p70S6K_pT389-R-V	-0.03365998575
p90RSK-R-C	0.35247577125
p90RSK_pT359_S363-R-C	0.0300108772500001
PAI-1-M-E	-0.07456859725
PARP_cleaved-M-E	-0.0405925477500002
PARP1-R-V	0.41636834375
Paxillin-R-C	0.04522677775
PCNA-M-C	-0.31248195825
PDCD4-R-C	0.30865682675
PDK1-R-V	0.13485172075
PDK1_pS241-R-V	0.22227980725
PEA15-R-V	0.10993585375
PEA15_pS116-R-V	-0.02506569975
PI3K-p110-alpha-R-C	-0.19413182575
PI3K-p85-R-V	0.84815795025
PKC-alpha-M-V	0.04771772475
PKC-alpha_pS657-R-C	0.02122687025
PKC-delta_pS664-R-V	0.13077661325
PKC-pan_BetaII_pS660-R-V	0.57560525125
PR-R-V	-0.01100715825
PRAS40_pT246-R-V	0.0485116462499999
PRDX1-R-V	0.31220338625
PREX1-R-E	0.76080977125
PTEN-R-V	0.03634239775
Rab11-R-E	-0.06830008875
Rab25-R-V	0.12436257725
Rad50-M-V	-0.14843025275
Rad51-R-V	-0.09975975425
Raptor-R-V	0.0536116277500001
Rb-M-E	-0.10764243175
Rb_pS807_S811-R-V	0.14284068625
RBM15-R-V	-0.0475132117500001
Rictor-R-C	-0.29959935725
Rictor_pT1135-R-V	-0.43828066725
S6-R-E	0.20674104725
S6_pS235_S236-R-V	0.23757969675
S6_pS240_S244-R-V	0.0528557222499999
SCD-M-V	0.0747947022499998
SETD2-R-E	-0.13101623975
SF2-M-V	-0.00123928625000008
Shc_pY317-R-E	-0.09191600525
Smac-M-E	-0.04192226375
Smad1-R-V	0.10019311325
Smad3-R-V	0.19764565525
Smad4-M-V	-0.06338984975
Snail-M-E	-0.0966159687500001
Src-M-V	0.77917442925
Src_pY416-R-C	0.80121199825
Src_pY527-R-V	0.28398872075
STAT3_pY705-R-V	0.31512474375
STAT5-alpha-R-V	1.14841177025
Stathmin-R-V	-0.25657665875
Syk-M-V	1.45331624425
TAZ-R-V	-0.18565677475
TFRC-R-V	1.34405987725
TIGAR-R-V	0.0253357082499999
Transglutaminase-M-V	-0.12406780125
TSC1-R-C	-0.10300579825
TTF1-R-V	-0.12844654775
Tuberin-R-E	0.0282208797499999
Tuberin_pT1462-R-V	-0.10047651425
VEGFR2-R-V	-0.30898221325
EPPK1-M-E	-0.00212137125000017
XBP1-G-C	0.10121437025
XRCC1-R-E	-0.33277158075
YAP-R-E	-0.31372337725
YAP_pS127-R-E	-0.69788562625
YB-1-R-V	0.03520031825
YB-1_pS102-R-V	-0.22399470375
A-Raf-R-V	0.02000001625
ARID1A-R-C	0.10339977675
B-Raf_pS445-R-V	0.0383733232499999
Bcl2A1-R-V	-0.15178272125
BRD4-R-V	-0.04013380825
c-Abl-R-V	-0.02666322075
Caspase-3-R-C	0.11583120275
CD26-R-V	-0.0295721267500001
Chk1_pS296-R-V	0.0326568742499999
COG3-R-V	0.0799229772499999
DUSP4-R-V	-0.0430446372500004
ERCC5-R-C	0.12463862975
IGF1R_pY1135_Y1136-R-V	-0.11000864425
IRF-1-R-C	0.36130457025
Jak2-R-V	0.60773790225
p16_INK4a-R-V	-0.06296928475
SHP-2_pY542-R-C	-0.0988624567500002
CDK1_pY15-R-C	0.04560398075
