Sample REF	0D83AA43-ACAD-4131-BA1E-CA5E314F827C
Heregulin-R-V	0.0178044375
HSP70-R-C	0.4935574725
IGFBP2-R-V	0.137849376
INPP4B-R-V	-0.0215355495
IRS1-R-V	-0.0915061335000001
JAB1-M-C	-0.0845706479999999
JNK_pT183_pY185-R-V	-0.0278475315
JNK2-R-C	-0.0406815725
Ku80-R-C	-0.2634103245
Lck-R-V	0.108664201
LKB1-M-E	0.0349366795
MAPK_pT202_Y204-R-V	-0.2474757885
MEK1-R-V	-0.033745705
MEK1_pS217_S221-R-V	-0.0600640775000001
MIG-6-M-V	-0.023520548
Mre11-R-C	0.000855829500000016
MSH2-M-V	0.0441348499999999
MSH6-R-C	0.219602857
mTOR-R-V	0.075612392
mTOR_pS2448-R-C	0.0567320890000001
MYH11-R-V	0.1613575175
Myosin-IIa_pS1943-R-V	-0.00450951750000005
N-Cadherin-R-V	-0.077993883
N-Ras-M-V	-0.0496879330000001
NDRG1_pT346-R-V	-0.0427008719999999
NF-kB-p65_pS536-R-C	0.140216942
NF2-R-C	0.0237852169999999
Notch1-R-V	-0.1444895455
P-Cadherin-R-C	0.176372307
p21-R-V	0.102894127
p27-R-V	0.059629695
p27_pT157-R-C	-0.00601702750000005
p27_pT198-R-V	0.038181318
p38_MAPK-R-V	0.0283922699999999
p38_pT180_Y182-R-V	0.185583056
p53-R-E	0.0220818255000002
p62-LCK-ligand-M-C	0.115001885
p70S6K-R-V	0.165131235
p70S6K_pT389-R-V	0.0327366555000001
p90RSK-R-C	-0.0919989785
p90RSK_pT359_S363-R-C	-0.1588320705
PAI-1-M-E	0.240988045
PARP_cleaved-M-E	0.0406771124999997
PARP1-R-V	0.308729074
Paxillin-R-C	0.114692139
PCNA-M-C	0.230146242
PDCD4-R-C	0.805462441
PDK1-R-V	-0.0355017110000001
PDK1_pS241-R-V	-0.0443668765
PEA15-R-V	0.038993606
PEA15_pS116-R-V	0.0951568154999999
PI3K-p110-alpha-R-C	0.0539566385
PI3K-p85-R-V	0.1350819775
PKC-alpha-M-V	-0.048874103
PKC-alpha_pS657-R-C	-0.0945402955
PKC-delta_pS664-R-V	0.1440029225
PKC-pan_BetaII_pS660-R-V	0.0517773115
PR-R-V	-0.0349584370000001
PRAS40_pT246-R-V	0.0317758855
PRDX1-R-V	-0.2250307645
PREX1-R-E	0.0976447274999999
PTEN-R-V	0.185508943
Rab11-R-E	0.0092161845
Rab25-R-V	0.2958538255
Rad50-M-V	-0.00801853850000006
Rad51-R-V	-0.0855899460000001
Raptor-R-V	0.197047506
Rb-M-E	0.0420977714999999
Rb_pS807_S811-R-V	0.2753845095
RBM15-R-V	-0.1631562745
Rictor-R-C	-0.231207877
Rictor_pT1135-R-V	0.104803569
S6-R-E	-0.0797621535000001
S6_pS235_S236-R-V	-0.41090131
S6_pS240_S244-R-V	-0.3185670335
SCD-M-V	-0.0604555305000002
SETD2-R-E	-0.0252386205000001
SF2-M-V	0.0848369529999999
Shc_pY317-R-E	-0.0337961060000002
Smac-M-E	0.2015225945
Smad1-R-V	-0.0567359095
Smad3-R-V	0.0160381135
Smad4-M-V	-0.1946748625
Snail-M-E	0.4213841205
Src-M-V	-0.0257936275000001
Src_pY416-R-C	0.0719929925000001
Src_pY527-R-V	-0.361780376
STAT3_pY705-R-V	-0.073641809
STAT5-alpha-R-V	0.1431074715
Stathmin-R-V	-0.0930284095
Syk-M-V	0.2633462465
TAZ-R-V	0.0287563575
TFRC-R-V	0.0930762454999999
TIGAR-R-V	-0.00233867350000005
Transglutaminase-M-V	-0.072457699
TSC1-R-C	-0.21103831
TTF1-R-V	0.1903122105
Tuberin-R-E	-0.466742043
Tuberin_pT1462-R-V	-0.299938603
VEGFR2-R-V	-0.220940425
EPPK1-M-E	-0.120178899
XBP1-G-C	0.0284712544999999
XRCC1-R-E	-0.2412360505
YAP-R-E	0.053802825
YAP_pS127-R-E	0.283172711
YB-1-R-V	-0.1179656165
YB-1_pS102-R-V	-0.0426513495
A-Raf-R-V	0.0149094415
ARID1A-R-C	0.081314965
B-Raf_pS445-R-V	-0.00331604550000003
Bcl2A1-R-V	-0.0860522180000001
BRD4-R-V	0.747045056
c-Abl-R-V	0.0671009654999999
Caspase-3-R-C	-0.0887082340000002
CD26-R-V	-0.1200971355
Chk1_pS296-R-V	-0.0219810455000001
COG3-R-V	-0.1427516215
DUSP4-R-V	-0.235715704
ERCC5-R-C	-0.133334451
IGF1R_pY1135_Y1136-R-V	0.012719754
IRF-1-R-C	-0.0134536465
Jak2-R-V	-0.00157132850000004
p16_INK4a-R-V	-0.1646602975
SHP-2_pY542-R-C	-0.1558983015
CDK1_pY15-R-C	0.317068941
