Sample REF	BDE4897D-3FFB-4C65-956D-4ED245ACA857
ERK2-R-E	0.0268150412499999
ETS-1-R-V	0.15502175825
FASN-R-V	0.57387904675
Fibronectin-R-V	1.45947882975
FoxM1-R-V	0.14734705275
FOXO3a-R-C	0.0120509912499999
FOXO3a_pS318_S321-R-C	-0.0252898767499999
G6PD-M-V	-0.16794555225
GAB2-R-V	-0.16457471875
GAPDH-M-C	0.70660094625
GATA3-M-V	0.42376072125
GSK3-alpha-beta-M-V	-0.0838198972499999
GSK3-alpha-beta_pS21_S9-R-V	-0.11866512025
GSK3_pS9-R-V	0.09251959075
HER2-M-V	0.58264145725
HER2_pY1248-R-C	0.03183163975
HER3-R-V	0.17910243925
HER3_pY1289-R-C	-0.000273889249999992
Heregulin-R-V	0.01969398675
HSP70-R-C	-0.0377209222500001
IGFBP2-R-V	-0.03069407475
INPP4B-R-V	-0.15902898725
IRS1-R-V	0.11459097075
JAB1-M-C	-0.06950468675
JNK_pT183_pY185-R-V	0.01960332475
JNK2-R-C	0.06921043875
Ku80-R-C	-0.37229634025
Lck-R-V	0.20712016725
LKB1-M-E	-0.00196462224999998
MAPK_pT202_Y204-R-V	-0.25372548325
MEK1-R-V	0.13250637325
MEK1_pS217_S221-R-V	0.01027664875
MIG-6-M-V	0.07423607025
Mre11-R-C	0.0935263127500001
MSH2-M-V	-0.17724316975
MSH6-R-C	-0.16813252875
mTOR-R-V	-0.32584687975
mTOR_pS2448-R-C	-0.19494125175
MYH11-R-V	-2.07695628925
Myosin-IIa_pS1943-R-V	-0.00445634424999998
N-Cadherin-R-V	0.06998245125
N-Ras-M-V	-0.0867351397500001
NDRG1_pT346-R-V	-0.0223619587499997
NF-kB-p65_pS536-R-C	0.26030238325
NF2-R-C	-0.05715963175
Notch1-R-V	0.11118459375
P-Cadherin-R-C	-0.00268354275000002
p21-R-V	-0.15478370875
p27-R-V	-0.05357505475
p27_pT157-R-C	0.03540731675
p27_pT198-R-V	0.00748021925
p38_MAPK-R-V	0.0536931942499999
p38_pT180_Y182-R-V	-0.07858535575
p53-R-E	-0.0340431742499996
p62-LCK-ligand-M-C	0.11122923725
p70S6K-R-V	-0.01612487575
p70S6K_pT389-R-V	0.12647597475
p90RSK-R-C	0.15803627075
p90RSK_pT359_S363-R-C	0.09595373575
PAI-1-M-E	0.96789797725
PARP_cleaved-M-E	-0.23419738825
PARP1-R-V	-0.41681619175
Paxillin-R-C	0.15154924825
PCNA-M-C	0.20908020925
PDCD4-R-C	-0.56884645975
PDK1-R-V	0.13078290925
PDK1_pS241-R-V	0.28629414875
PEA15-R-V	-0.02271337175
PEA15_pS116-R-V	0.21639275775
PI3K-p110-alpha-R-C	0.09955438075
PI3K-p85-R-V	-0.0677078322499999
PKC-alpha-M-V	-0.08469845275
PKC-alpha_pS657-R-C	-0.06309415225
PKC-delta_pS664-R-V	0.08678784775
PKC-pan_BetaII_pS660-R-V	0.06626528575
PR-R-V	0.00543856524999997
PRAS40_pT246-R-V	0.000491207750000014
PRDX1-R-V	-0.08352735125
PREX1-R-E	-0.18697278025
PTEN-R-V	-0.09562093175
Rab11-R-E	0.12268356875
Rab25-R-V	0.66614578375
Rad50-M-V	-0.09240752425
Rad51-R-V	0.13405463125
Raptor-R-V	-0.19869427675
Rb-M-E	0.01576042775
Rb_pS807_S811-R-V	0.06739626175
RBM15-R-V	-0.10507805225
Rictor-R-C	-0.50564470575
Rictor_pT1135-R-V	0.14329495025
S6-R-E	-0.22156795425
S6_pS235_S236-R-V	0.0761076842499999
S6_pS240_S244-R-V	0.21590982475
SCD-M-V	-0.17874947425
SETD2-R-E	-0.06491003825
SF2-M-V	-0.13398131675
Shc_pY317-R-E	-0.0411425377500002
Smac-M-E	-0.34258045925
Smad1-R-V	-0.17677016525
Smad3-R-V	-0.04823443425
Smad4-M-V	-0.03166405125
Snail-M-E	-0.21673487825
Src-M-V	0.27224162375
Src_pY416-R-C	0.36162288875
Src_pY527-R-V	0.23122655925
STAT3_pY705-R-V	0.03667811825
STAT5-alpha-R-V	0.000485948749999909
Stathmin-R-V	-0.0716326202499999
Syk-M-V	0.20390752375
TAZ-R-V	0.11184898375
TFRC-R-V	0.48005618175
TIGAR-R-V	0.11551878275
Transglutaminase-M-V	0.09496069925
TSC1-R-C	0.0690639752499999
TTF1-R-V	-0.0536560102499999
Tuberin-R-E	-0.0701583367500001
Tuberin_pT1462-R-V	0.10045511125
VEGFR2-R-V	-0.0475845957499999
EPPK1-M-E	0.53010575425
XBP1-G-C	-0.12755441225
XRCC1-R-E	-0.03171302325
YAP-R-E	0.10168171925
YAP_pS127-R-E	0.04635612825
YB-1-R-V	0.09692738575
YB-1_pS102-R-V	0.14586816275
A-Raf-R-V	-0.04127541025
ARID1A-R-C	0.04989167125
B-Raf_pS445-R-V	0.11567110075
Bcl2A1-R-V	0.20876907925
BRD4-R-V	-0.26782608975
c-Abl-R-V	-0.09318762225
Caspase-3-R-C	-0.01484904075
CD26-R-V	0.45182304775
Chk1_pS296-R-V	-0.00941011124999996
COG3-R-V	0.11279930375
DUSP4-R-V	0.57455162525
ERCC5-R-C	-0.13854852575
IGF1R_pY1135_Y1136-R-V	0.04692174925
IRF-1-R-C	0.07470404675
Jak2-R-V	-0.13466083825
p16_INK4a-R-V	-0.08406804725
SHP-2_pY542-R-C	0.0558795247499999
CDK1_pY15-R-C	-0.06862360475
