Sample REF	9B312149-C836-4776-B637-9FA92B1CD26B
GATA3-M-V	-0.1067702525
GSK3-alpha-beta-M-V	0.0630382759999999
GSK3-alpha-beta_pS21_S9-R-V	0.0974963
GSK3_pS9-R-V	0.224582907
HER2-M-V	0.7012427315
HER2_pY1248-R-C	-0.0300595400000001
HER3-R-V	-0.1223151815
HER3_pY1289-R-C	0.0554804739999999
Heregulin-R-V	-0.121645907
HSP70-R-C	0.8941114
IGFBP2-R-V	-0.2838715765
INPP4B-R-V	0.0779774040000001
IRS1-R-V	0.138988296
JAB1-M-C	-0.0322526955
JNK_pT183_pY185-R-V	0.0451840309999999
JNK2-R-C	0.158482185
Ku80-R-C	-0.640460544
Lck-R-V	-0.3125203905
LKB1-M-E	0.0940496
MAPK_pT202_Y204-R-V	-0.125358033
MEK1-R-V	0.0476074685
MEK1_pS217_S221-R-V	-0.0196306280000001
MIG-6-M-V	-0.1824965635
Mre11-R-C	0.045487182
MSH2-M-V	-0.8036642765
MSH6-R-C	-1.6230309185
mTOR-R-V	-0.2209316575
mTOR_pS2448-R-C	0.0132770725
MYH11-R-V	3.306738751
Myosin-IIa_pS1943-R-V	-0.137372415
N-Cadherin-R-V	-0.1233469745
N-Ras-M-V	0.0297005504999999
NDRG1_pT346-R-V	-0.1925707305
NF-kB-p65_pS536-R-C	0.4025741065
NF2-R-C	-0.1307698505
Notch1-R-V	-0.0559059160000001
P-Cadherin-R-C	-0.0441105365000001
p21-R-V	0.1744935615
p27-R-V	0.3539901195
p27_pT157-R-C	-0.0552249380000001
p27_pT198-R-V	-0.0745769715000001
p38_MAPK-R-V	0.1259337475
p38_pT180_Y182-R-V	0.6918942685
p53-R-E	-0.0403906119999999
p62-LCK-ligand-M-C	-0.4341573295
p70S6K-R-V	0.0474135654999999
p70S6K_pT389-R-V	-0.222962239
p90RSK-R-C	0.0777213119999999
p90RSK_pT359_S363-R-C	-0.049792627
PAI-1-M-E	-0.2506512705
PARP_cleaved-M-E	1.091966736
PARP1-R-V	-1.2034284025
Paxillin-R-C	0.1611575635
PCNA-M-C	-0.3512311715
PDCD4-R-C	-0.1787167735
PDK1-R-V	0.3033971855
PDK1_pS241-R-V	0.489668893
PEA15-R-V	-0.0675999375000001
PEA15_pS116-R-V	0.177574231
PI3K-p110-alpha-R-C	0.115094154
PI3K-p85-R-V	0.012687264
PKC-alpha-M-V	0.9141641095
PKC-alpha_pS657-R-C	0.936915596
PKC-delta_pS664-R-V	-0.00531449500000011
PKC-pan_BetaII_pS660-R-V	0.134498394
PR-R-V	0.1561506005
PRAS40_pT246-R-V	-0.0882100920000001
PRDX1-R-V	-1.073135607
PREX1-R-E	-0.603838771
PTEN-R-V	0.5665194125
Rab11-R-E	0.066249659
Rab25-R-V	0.710999894
Rad50-M-V	0.0606631609999999
Rad51-R-V	-0.1625084105
Raptor-R-V	-0.1517454395
Rb-M-E	0.738576937
Rb_pS807_S811-R-V	-0.375310202
RBM15-R-V	-0.377128262
Rictor-R-C	3.7076619765
Rictor_pT1135-R-V	0.2481935885
S6-R-E	-0.63239367
S6_pS235_S236-R-V	-0.9733393955
S6_pS240_S244-R-V	-0.416483895
SCD-M-V	-0.0646859050000004
SETD2-R-E	2.154627454
SF2-M-V	-0.0741072855
Shc_pY317-R-E	0.0993078285
Smac-M-E	0.587697334
Smad1-R-V	0.0385467009999999
Smad3-R-V	-0.237652197
Smad4-M-V	0.0176312519999999
Snail-M-E	1.012770411
Src-M-V	0.213857976
Src_pY416-R-C	-0.184650897
Src_pY527-R-V	0.6643927365
STAT3_pY705-R-V	0.0858398445
STAT5-alpha-R-V	-0.193736892
Stathmin-R-V	-0.141237375
Syk-M-V	-0.472772237
TAZ-R-V	0.166654579
TFRC-R-V	-0.751164989
TIGAR-R-V	0.245666765
Transglutaminase-M-V	0.5439034505
TSC1-R-C	0.3837566765
TTF1-R-V	-0.156202069
Tuberin-R-E	-0.0324580755000001
Tuberin_pT1462-R-V	0.2019803525
VEGFR2-R-V	0.2590810045
EPPK1-M-E	0.6785419355
XBP1-G-C	0.277400491
XRCC1-R-E	-0.253097138
YAP-R-E	0.3407904575
YAP_pS127-R-E	1.0107818915
YB-1-R-V	0.268255466
YB-1_pS102-R-V	-0.0432071930000001
A-Raf-R-V	-0.324459709
ARID1A-R-C	-0.0985068695
B-Raf_pS445-R-V	-0.397639911
Bcl2A1-R-V	0.1245513585
BRD4-R-V	-0.3477944145
c-Abl-R-V	0.145665856
Caspase-3-R-C	-0.2048434725
CD26-R-V	0.697586864
Chk1_pS296-R-V	-0.118877933
COG3-R-V	-0.0214016220000001
DUSP4-R-V	-0.2328606125
ERCC5-R-C	-0.0374752105000001
IGF1R_pY1135_Y1136-R-V	0.0830580724999999
IRF-1-R-C	-0.027766668
Jak2-R-V	-0.335249407
p16_INK4a-R-V	0.035841512
SHP-2_pY542-R-C	0.304461056
CDK1_pY15-R-C	-0.2287639545
