Sample REF	48491326-6CC1-498B-BD2F-FCE829424579
Rb-M-E	0.31865598
Rb_pS807_S811-R-V	-0.666236877
RBM15-R-V	-0.691723232
Rictor-R-C	3.0019247215
Rictor_pT1135-R-V	0.4686791015
S6-R-E	-1.107416068
S6_pS235_S236-R-V	-0.9564045945
S6_pS240_S244-R-V	-0.471063739
SCD-M-V	-0.00207657000000006
SETD2-R-E	0.227524086
SF2-M-V	-0.1262487155
Shc_pY317-R-E	-0.0188198455000002
Smac-M-E	-0.259344877
Smad1-R-V	0.00207657000000006
Smad3-R-V	-0.113097977
Smad4-M-V	0.030102066
Snail-M-E	-0.36533078
Src-M-V	0.131019573
Src_pY416-R-C	-0.0410020609999999
Src_pY527-R-V	0.3703379625
STAT3_pY705-R-V	-0.3322044945
STAT5-alpha-R-V	-0.473289083
Stathmin-R-V	0.234921173
Syk-M-V	-0.870576934
TAZ-R-V	0.491281229
TFRC-R-V	-1.147996253
TIGAR-R-V	-0.215964398
Transglutaminase-M-V	0.5601750335
TSC1-R-C	0.2044061885
TTF1-R-V	0.140615825
Tuberin-R-E	-0.0946846965
Tuberin_pT1462-R-V	0.4321880905
VEGFR2-R-V	0.1162264225
EPPK1-M-E	0.4689183135
XBP1-G-C	0.0824865490000002
XRCC1-R-E	-0.364357991
YAP-R-E	0.5383724925
YAP_pS127-R-E	1.0008366925
YB-1-R-V	0.231904265
YB-1_pS102-R-V	0.247688309
A-Raf-R-V	-0.35821158
ARID1A-R-C	-0.3232736825
B-Raf_pS445-R-V	-0.430055397
Bcl2A1-R-V	0.6294424835
BRD4-R-V	-0.7605105075
c-Abl-R-V	0.080912991
Caspase-3-R-C	-0.2007003835
CD26-R-V	0.389163892
Chk1_pS296-R-V	0.18161978
COG3-R-V	-0.144169532
DUSP4-R-V	-0.0585280135000001
ERCC5-R-C	-0.0719113165
IGF1R_pY1135_Y1136-R-V	0.2029267515
IRF-1-R-C	-0.038845719
Jak2-R-V	-0.539144149
p16_INK4a-R-V	0.12033794
SHP-2_pY542-R-C	0.397043357
CDK1_pY15-R-C	-0.2125238895
