Sample REF	027D22A3-FA13-4BAE-A6BB-476DE1F79836
MSH2-M-V	-0.17142921775
MSH6-R-C	0.0910818602500001
mTOR-R-V	0.47036238025
mTOR_pS2448-R-C	0.33555810225
MYH11-R-V	-0.12923979525
Myosin-IIa_pS1943-R-V	0.20018440975
N-Cadherin-R-V	-0.23360507175
N-Ras-M-V	-0.0575869627500001
NDRG1_pT346-R-V	1.10994988825
NF-kB-p65_pS536-R-C	0.66643085925
NF2-R-C	0.45277305325
Notch1-R-V	0.01601653475
P-Cadherin-R-C	-0.15222791175
p21-R-V	-0.12321658775
p27-R-V	0.17165706525
p27_pT157-R-C	-0.14376209425
p27_pT198-R-V	0.0191663942500001
p38_MAPK-R-V	0.42362379925
p38_pT180_Y182-R-V	0.57535603825
p53-R-E	-0.13951507525
p62-LCK-ligand-M-C	0.60370549025
p70S6K-R-V	0.19670495725
p70S6K_pT389-R-V	-0.13041021425
p90RSK-R-C	0.12250128375
p90RSK_pT359_S363-R-C	-0.35949722125
PAI-1-M-E	-0.12894271175
PARP_cleaved-M-E	-0.15477963625
PARP1-R-V	-0.02305709275
Paxillin-R-C	0.0150425492499999
PCNA-M-C	-0.35807669275
PDCD4-R-C	0.81430033025
PDK1-R-V	0.07343354025
PDK1_pS241-R-V	0.30233764075
PEA15-R-V	0.14934040025
PEA15_pS116-R-V	-0.0192815952499999
PI3K-p110-alpha-R-C	0.03101667075
PI3K-p85-R-V	0.63387084475
PKC-alpha-M-V	-0.08535199475
PKC-alpha_pS657-R-C	-0.09089711625
PKC-delta_pS664-R-V	0.30722536475
PKC-pan_BetaII_pS660-R-V	0.71552598375
PR-R-V	-0.13853724575
PRAS40_pT246-R-V	0.03826485875
PRDX1-R-V	0.36417629675
PREX1-R-E	0.74395953475
PTEN-R-V	0.17502000825
Rab11-R-E	0.0141947897500001
Rab25-R-V	-0.15866937925
Rad50-M-V	0.05091451075
Rad51-R-V	-0.49011246875
Raptor-R-V	0.37497506125
Rb-M-E	-0.23712186625
Rb_pS807_S811-R-V	0.00203256375000005
RBM15-R-V	0.06195710175
Rictor-R-C	-0.26516627275
Rictor_pT1135-R-V	-0.02648673575
S6-R-E	0.32672561275
S6_pS235_S236-R-V	0.23840255225
S6_pS240_S244-R-V	0.23708373975
SCD-M-V	0.0491449137499999
SETD2-R-E	-0.23396795725
SF2-M-V	-0.05667473575
Shc_pY317-R-E	0.0373628052499999
Smac-M-E	0.35677015275
Smad1-R-V	0.10996727675
Smad3-R-V	0.18030855375
Smad4-M-V	-0.18607965525
Snail-M-E	0.0366913277499999
Src-M-V	0.68191020575
Src_pY416-R-C	0.99391098975
Src_pY527-R-V	0.02372918025
STAT3_pY705-R-V	0.21086191725
STAT5-alpha-R-V	1.23993217675
Stathmin-R-V	-0.28069408125
Syk-M-V	0.92191822175
TAZ-R-V	-0.27119815525
TFRC-R-V	1.25277736175
TIGAR-R-V	-0.17064225325
Transglutaminase-M-V	-0.18406921575
TSC1-R-C	-0.16834183275
TTF1-R-V	-0.37752983225
Tuberin-R-E	0.14337100525
Tuberin_pT1462-R-V	0.0959534282500001
VEGFR2-R-V	0.0405026712500001
EPPK1-M-E	1.32583287425
XBP1-G-C	-0.0301853972499999
XRCC1-R-E	-0.05139927425
YAP-R-E	-0.42500386975
YAP_pS127-R-E	-0.76045966675
YB-1-R-V	0.01555546575
YB-1_pS102-R-V	-0.02485773925
A-Raf-R-V	0.18600760675
ARID1A-R-C	-0.01025342175
B-Raf_pS445-R-V	0.10261443575
Bcl2A1-R-V	-0.36283785375
BRD4-R-V	0.25525665825
c-Abl-R-V	0.14716114775
Caspase-3-R-C	-0.0685825507500001
CD26-R-V	-0.19026941125
Chk1_pS296-R-V	-0.09925312725
COG3-R-V	0.07781126475
DUSP4-R-V	-0.24677301475
ERCC5-R-C	0.0865360372499999
IGF1R_pY1135_Y1136-R-V	-0.14182040175
IRF-1-R-C	0.25063490475
Jak2-R-V	0.47252263175
p16_INK4a-R-V	-0.26289499425
SHP-2_pY542-R-C	-0.21521300825
CDK1_pY15-R-C	-0.35232106475
