Gene Name	Array data file names	Sample REF	Antibody.validation.status	Antibody.Origin	Antibody.Source..Company.	Catalog.Number	Protein.function.and.regulatory.pathways	Website
ACACA	ACC1-R-E_GBL1115273.txt	ACC1-R-E	Under Evaluation	Rabbit	Epitomics	1768-1	Key enzyme in the biosynthesis and oxidation of fatty acids. Involved in energy homeostasis regulation	http://www.epitomics.com/products/product_info/419/Acetyl-antibody-1768-1.html
TUBA1B	Acetyl-a-Tubulin-Lys40-R-C_GBL1115793.txt	Acetyl-a-Tubulin-Lys40-R-C	Under Evaluation	Rabbit	CST	5335	The cytoskeleton consists of three types of cytosolic fibers: microtubules, microfilaments (actin filaments), and intermediate filaments. Acetylation of _-tubulin at Lys40 is required for dynamic cell shape remodeling, cell motility, tubulin stability and terminal branching of cortical neurons	http://www.cellsignal.com/products/5335.html
ACVRL1	ACVRL1-R-C_GBL1115772.txt	ACVRL1-R-C	Use with Caution	Rabbit	Epitomics	2940-1	TNF beta superfamily	http://www.epitomics.com/products/product_info/1685/ACVRL1-antibody-2940-1.html
ADAR	ADAR1-M-V_GBL1115855.txt	ADAR1-M-V	Validated	Mouse	Abcam	ab88574	Converts multiple adenosines to inosines and creates I/U mismatched base pairs in double-helical RNA substrates without apparent sequence specificity. It plays a role in RNA editing.	http://www.abcam.com/adar1-antibody-ab88574.html
AKT1 AKT2 AKT3	Akt-R-V_GBL1115771.txt	Akt-R-V	Validated	Rabbit	CST	9272	PI3K/AKT/mTOR pathway	http://www.cellsignal.com/products/9272.html
AKT1 AKT2 AKT3	Akt_pS473-R-V_GBL1115671.txt	Akt_pS473-R-V	Validated	Rabbit	CST	9271	PI3K/AKT/mTOR pathway	http://www.cellsignal.com/products/9271.html
AKT1 AKT2 AKT3	Akt_pT308-R-V_GBL1115790.txt	Akt_pT308-R-V	Validated	Rabbit	CST	9275	PI3K/AKT/mTOR pathway	http://www.cellsignal.com/products/9275.html
CTNNA1	alpha-Catenin-M-V_GBL1115835.txt	alpha-Catenin-M-V	Validated	Mouse	Calbiochem	CA1030	Discontinued	
PRKAA1	AMPK_alpha-R-C_GBL1115274.txt	AMPK_alpha-R-C	Use with Caution	Rabbit	CST	2532	Involved in energy homeostasis regulation	http://www.cellsignal.com/products/2532.html
PRKAA1	AMPK_pT172-R-V_GBL1115275.txt	AMPK_pT172-R-V	Validated	Rabbit	CST	2535	Involved in energy homeostasis regulation	http://www.cellsignal.com/products/2535.html
ANXA1	Annexin-1-M-E_GBL1115847.txt	Annexin-1-M-E	Under Evaluation	Mouse	BD Transduction	610066	Apoptosis	http://www.bdbiosciences.com/ptProduct.jsp?prodId=25213&key=610066&param=search&mterms=true&from=dTable
ANXA7	Annexin_VII-M-V_GBL1115841.txt	Annexin_VII-M-V	Validated	Mouse	BD Biosciences	610668	Apoptosis	http://www.bdbiosciences.com/ptProduct.jsp?prodId=25306&key=610668&param=search&mterms=true&from=dTable
AR	AR-R-V_GBL1115808.txt	AR-R-V	Validated	Rabbit	Epitomics	1852-1	Androgen receptor (AR). Transcription Factor	http://www.epitomics.com/products/product_info/259/Androgen-antibody-1852-1.html
DIRAS3	DIRAS3-M-E_GBL1115848.txt	DIRAS3-M-E	Under Evaluation	Mouse	Dr. Robert C Bast Jr.	Customer made	A member of the ras superfamily, Expressed in normal ovarian and breast epithelial cells, but not in ovarian and breast cancers.	
ASNS	ASNS-R-V_GBL1115803.txt	ASNS-R-V	Validated	Rabbit	Sigma	HPA029318	The protein encoded by ASNS gene is involved in the synthesis of asparagine. 	http://www.sigmaaldrich.com/catalog/product/sigma/hpa029318?lang=en&region=US
ATM	ATM-R-E_GBL1115276.txt	ATM-R-E	Under Evaluation	Rabbit	Abcam	ab32420	Serine/threonine protein kinase which activates checkpoint signaling upon double strand breaks (DSBs), apoptosis and genotoxic stresses such as ionizing ultraviolet A light (UVA), thereby acting as a DNA damage sensor. 	http://www.abcam.com/atm-antibody-y170-ab32420.html
BRAF	B-Raf-M-C_GBL1115812.txt	B-Raf-M-C	Use with Caution	Mouse	Santa Cruz	sc-5284	One of the main effectors recruited by GTP-bound Ras to activate the MEK-MAP kinase pathway 	http://www.scbt.com/datasheet-5284-raf-b-f-7-antibody.html
BAD	Bad_pS112-R-V_GBL1115806.txt	Bad_pS112-R-V	Validated	Rabbit	CST	9291	Bcl-2 interacting mediator of cell death, pro-apoptotic protein 	http://www.cellsignal.com/products/9291.html
BAK1	Bak-R-C_GBL1115278.txt	Bak-R-C	Under Evaluation	Rabbit	Epitomics	1542-1	Bcl-2 interacting mediator of cell death, pro-apoptotic protein 	http://www.epitomics.com/products/product_info/83/Bak-antibody-1542-1.html
BAP1	Bap1-c-4-M-E_GBL1115846.txt	Bap1-c-4-M-E	Ender Evaluation	Rabbit	Alomine	APC-125	BAP1 is a tumor suppressor that requires deubiquitinating activity and nuclear localization	
BAX	Bax-R-V_GBL1115279.txt	Bax-R-V	Validated	Rabbit	CST	2772	Bcl-2 interacting mediator of cell death, pro-apoptotic protein 	http://www.cellsignal.com/products/2772.html
BCL2	Bcl-2-M-V_GBL1115811.txt	Bcl-2-M-V	Validated	Mouse	Dako	Dako M0887	Anti-apoptotic protein, Oncoprotein	http://www.dako.com/us/ar38/p102230/prod_products.htm
BCL2L1	Bcl-xL-R-V_GBL1115281.txt	Bcl-xL-R-V	Validated	Rabbit	CST	2762	Bcl-2 interacting mediator of cell death, anti-apoptotic protein 	http://www.cellsignal.com/products/2762.html
BECN1	Beclin-G-C_GBL1115804.txt	Beclin-G-C	Use with Caution	Goat	Santa Cruz	sc-10086	BECN1 (Beclin 1) is a coiled-coil protein that has been implicated as an inhibitor of tumorigenesis. BECN1, which associates with Bcl-2, plays a significant role in autophagy.	http://www.scbt.com/datasheet-10086-becn1-d-18-antibody.html
CTNNB1	beta-Catenin-R-V_GBL1115280.txt	beta-Catenin-R-V	Validated	Rabbit	CST	9562	Downstream effector in the Wnt signaling pathway	http://www.cellsignal.com/products/9562.html
BID	Bid-R-C_GBL1115656.txt	Bid-R-C	Use with Caution	Rabbit	Epitomics	1008-1	Bcl-2 interacting mediator of cell death, pro-apoptotic protein belonging to the BH3-interaction protein	http://www.epitomics.com/products/product_info/93/Bid-antibody-1008-1.html
BCL2L11	Bim-R-V_GBL1115657.txt	Bim-R-V	Validated	Rabbit	Epitomics	1036-1	Bcl-2 interacting mediator of cell death, pro-apoptotic protein belonging to the BH3-interaction protein	http://www.epitomics.com/products/product_info/94/Bim-antibody-1036-1.html
JUN	c-Jun_pS73-R-V_GBL1115662.txt	c-Jun_pS73-R-V	Validated	Rabbit	CST	9164	MAPK pathway, A component of the transcription factor activator protein-1 (AP-1), Regulates cell proliferation, differentiation, and apoptosis, as well as transformation, invasion and metastasis	http://www.cellsignal.com/products/9164.html
KIT	c-Kit-R-V_GBL1115663.txt	c-Kit-R-V	Validated	Rabbit	Epitomics	1522	Tyrosine Kinase Receptor	http://www.epitomics.com/products/product_info/158/c-Kit-CD117-antibody-1522-1.html
MET	c-Met-M-E_GBL1115829.txt	c-Met-M-E	**Used for QC**	Mouse	CST	3127	Met, a high affinity tyrosine kinase receptor for hepatocyte growth factor (HGF, also known as scatter factor) is a disulfide-linked heterodimer made of 45 kDa ?- and 145 kDa ?-subunits. The ?-subunit and the amino-terminal region of the ?-subunit form the extracellular domain. The remainder of the ?-chain spans the plasma membrane and contains a cytoplasmic region with tyrosine kinase activity. Interaction of Met with HGF results in autophosphorylation at multiple tyrosines, which recruit several downstream signaling components, including Gab1, c-Cbl, and PI3 kinase. These fundamental events are important for all of the biological functions involving Met kinase activity. The addition of a phosphate at cytoplasmic Tyr1003 is essential for Met protein ubiquitination and degradation. Phosphorylation at Tyr1234/1235 in the Met kinase domain is critical for kinase activation. Phosphorylation at Tyr1349 in the Met cytoplasmic domain provides a direct binding site for Gab1. Research studies have shown that altered Met levels and/or tyrosine kinase activities are found in several types of tumors, including renal, colon, and breast. Thus, investigators have concluded that Met is an attractive potential cancer therapeutic and diagnostic target.	http://www.cellsignal.com/products/primary-antibodies/3127?hit=productId&Ntt=3127
MET	c-Met_pY1235-R-V_GBL1115720.txt	c-Met_pY1235-R-V	Validated	Rabbit	CST	3129	Tyrosine kinase receptor for hepatocyte growth factor	http://www.cellsignal.com/products/3129.html
MYC	c-Myc-R-C_GBL1115788.txt	c-Myc-R-C	Use with Caution	Rabbit	CST	9402	Members of the Myc/Max/Mad network function as transcriptional regulators invlolving in proliferation, differentiation and apoptosis	http://www.cellsignal.com/products/9402.html
RAF1	C-Raf-R-V_GBL1115732.txt	C-Raf-R-V	Validated	Rabbit	Millipore	05-739	One of the main effectors recruited by GTP-bound Ras to activate the MEK-MAP kinase pathway 	https://www.millipore.com/coa.nsf/a73664f9f981af8c852569b9005b4eee/5ccbe14c984f4587852573060052d7aa/$FILE/05-739-28714.pdf
RAF1	C-Raf_pS338-R-V_GBL1115665.txt	C-Raf_pS338-R-V	Under Evaluation	Rabbit	CST	9427	One of the main effectors recruited by GTP-bound Ras to activate the MEK-MAP kinase pathway 	http://www.cellsignal.com/products/9427.html
CASP7	Caspase-7_cleavedD198-R-C_GBL1115658.txt	Caspase-7_cleavedD198-R-C	Use with Caution	Rabbit	CST	9491	A major contributor to the execution of apoptosis	http://www.cellsignal.com/products/9491.html
CASP8	Caspase-8-M-E_GBL1115837.txt	Caspase-8-M-E	**Used for QC**	Mouse	CST	9746	Apoptosis induced through the CD95 receptor (Fas/APO-1) and tumor necrosis factor receptor 1 (TNFR1) activates caspase-8 and leads to the release of the caspase-8 active fragments, p18 and p10. Activated caspase-8 cleaves and activates downstream effector caspases such as caspase-1, -3, -6, and -7. Caspase-3 ultimately elicits the morphological hallmarks of apoptosis, including DNA fragmentation and cell shrinkage.	http://www.cellsignal.com/products/primary-antibodies/9746?hit=productId&Ntt=9746
CAV1	Caveolin-1-R-V_GBL1115659.txt	Caveolin-1-R-V	Validated	Rabbit	CST	3238	One of the principal structural components of the cholesterol/sphingolipid-enriched plasma membrane microdomain caveolae. Interact with multiple signaling molecules such as G_ subunit, tyrosine kinase receptors, PKCs, Src family tyrosine kinases, and eNOS	http://www.cellsignal.com/products/3238.html
MS4A1	CD20-R-C_GBL1115660.txt	CD20-R-C	Use with Caution	Rabbit	Epitomics	1632	Human B lymphocyte surfacr marker	http://www.epitomics.com/products/product_info/135/CD20-antibody-1632-1.html
PECAM1	CD31-M-V_GBL1115813.txt	CD31-M-V	Validated	Mouse	Dako	M0823	Endothelia cell marker	http://www.dako.com/us/ar38/p102870/prod_products.htm
ITGA2	CD49b-M-V_GBL1115836.txt	CD49b-M-V	Validated	Mouse	BD	611016	Integrin	http://www.bdbiosciences.com/ptProduct.jsp?prodId=108074&key=611016&param=search&mterms=true&from=dTable
CDK1	CDK1-R-V_GBL1115754.txt	CDK1-R-V	Validated	Rabbit	CST	9112	Involved in the regulation of the entry of eukaryotic cells into mitosis	http://www.cellsignal.com/products/9112.html
CHEK1	Chk1-M-C_GBL1115853.txt	Chk1-M-C	Under Evaluation	Rabbit	CST	2345	Kinase acts downstream of ATM/ATR involving in DNA damage checkpoint control, embryonic development, and tumor suppression	Discontinued, replaced by http://www.cellsignal.com/products/2360.html
CHEK1	Chk1_pS345-R-C_GBL1115744.txt	Chk1_pS345-R-C	Use with Caution	Rabbit	CST	2348	Kinase acts downstream of ATM/ATR involving in DNA damage checkpoint control, embryonic development, and tumor suppression	http://www.cellsignal.com/products/2348.html
CHEK2	Chk2-M-E_GBL1115814.txt	Chk2-M-E	Under Evaluation	Mouse	CST	3440	Kinase acts downstream of ATM/ATR involving in DNA damage checkpoint control, embryonic development, and tumor suppression	http://www.cellsignal.com/products/3440.html
CHEK2	Chk2_pT68-R-C_GBL1115661.txt	Chk2_pT68-R-C	Under Evaluation	Rabbit	CST	2197	Kinase acts downstream of ATM/ATR involving in DNA damage checkpoint control, embryonic development, and tumor suppression	http://www.cellsignal.com/products/2197.html
BIRC2 	cIAP-R-V_GBL1115749.txt	cIAP-R-V	Use with Caution	Rabbit	Millipore	07-759	Apoptosis suppressor	https://www.millipore.com/catalogue/item/07-759
CLDN7	Claudin-7-R-V_GBL1115737.txt	Claudin-7-R-V	Validated	Rabbit	Novus	NB100-91714	Claudins  make up tight junction strands.	http://www.novusbio.com/Claudin-7-Antibody_NB100-91714.html
COL6A1	Collagen_VI-R-V_GBL1115664.txt	Collagen_VI-R-V	Validated	Rabbit	Santa Cruz	SC-20649	Collagens are fibrous, extracellular matrix proteins play a role in cell adhesion, important for maintaining normal tissue architecture and function.	http://www.scbt.com/datasheet-20649-col6a1-h-200-antibody.html
CCNB1	Cyclin_B1-R-V_GBL1115666.txt	Cyclin_B1-R-V	Validated	Rabbit	Epitomics	1495-1	Cyclin B1 regulates mitosis. Cyclin B1 levels rise during S phase and G2, and peak at mitosis. 	http://www.epitomics.com/products/product_info/170/Cyclin-antibody-1495-1.html
CCND1	Cyclin_D1-R-V_GBL1115667.txt	Cyclin_D1-R-V	Validated	Rabbit	Santa Cruz	SC-718	Cyclin D corresponds to a putative human oncogene. It regulates phosphorylation of the retinoblastoma gene product, thereby activating E2F transcription factors	http://www.scbt.com/datasheet-718-cyclin-d1-m-20-antibody.html
CCNE1	Cyclin_E1-M-V_GBL1115815.txt	Cyclin_E1-M-V	Validated	Mouse	Santa Cruz	SC-247	Cyclin E has been found to be associated with the transcription factor E2F in a temporally regulated manner. The cyclin E/E2F complex is detected primarily during the G1 phase of the cell cycle and decreases as cells enter S phase. E2F is known to be a critical transcription factor for expression of several S phase specific proteins.	http://www.scbt.com/datasheet-247-cyclin-e-he12-antibody.html
CCNE2	Cyclin_E2-R-C_GBL1115668.txt	Cyclin_E2-R-C	Use with Caution	Rabbit	Epitomics	1142	Controls cell cycle at late G1 and early S phase	http://www.epitomics.com/products/product_info/173/Cyclin-antibody-1142-1.html
PARK7	DJ-1-R-E_GBL1115742.txt	DJ-1-R-E	Validated	Rabbit	Abcam	ab76008	May involved in regulation of PTEN expression	http://www.abcam.com/park7-dj1-antibody-ep2815y-ab76008.html
DVL3	Dvl3-R-V_GBL1115751.txt	Dvl3-R-V	Validated	Rabbit	CST	3218	Intermediates of Wnt signaling pathways	http://www.cellsignal.com/products/3218.html
CDH1	E-Cadherin-R-V_GBL1115773.txt	E-Cadherin-R-V	Validated	Rabbit	CST	4065	A member of transmembrane glycoprotein superfamily, Mediate calcium-dependent cell-cell adhesion and normal tissue development. 	Discontinued, Replaced by http://www.cellsignal.com/products/3195.html
EEF2	eEF2-R-C_GBL1115761.txt	eEF2-R-C	Use with Caution	Rabbit	CST	2332	Eukaryotic elongation factor 2 (eEF2) catalyzes the translocation of peptidyl-tRNA from the A site to the P site on the ribosome. Insulin induces rapid dephosphorylation of eEF2 through mTOR signaling.	http://www.cellsignal.com/products/2332.html
EEF2K	eEF2K-R-V_GBL1115762.txt	eEF2K-R-V	Validated	Rabbit	CST	3692	Eukaryotic elongation factor 2 kinase (eEF2k) phosphorylates and inactivates eEF2, resulting in the inhibition of peptide-chain elongation.p90RSK and p70 S6 kinase phosphorylate and inactivate eEF2k.	
EGFR	EGFR-R-V_GBL1115775.txt	EGFR-R-V	Validated	Rabbit	CST	2232	Epidermal growth factor receptor (EGFR), Tyrosine Kinase Receptor	http://www.cellsignal.com/products/2232.html
EGFR	EGFR_pY1068-R-C_GBL1115669.txt	EGFR_pY1068-R-C	Use with Caution	Rabbit	CST	2234	Epidermal growth factor receptor (EGFR), Tyrosine Kinase Receptor	http://www.cellsignal.com/products/3692.html
EGFR	EGFR_pY1173-R-V_GBL1115670.txt	EGFR_pY1173-R-V	Validated	Rabbit	Epitomics	1124	Epidermal growth factor receptor (EGFR), Tyrosine Kinase Receptor	http://www.epitomics.com/products/product_info/187/EGFR-antibody-1124-1.html
EIF4E	eIF4E-R-V_GBL1115719.txt	eIF4E-R-V	Valid	Rabbit	CST	9742	Eukaryotic initiation factor 4E (eIF4E) binds to the mRNA cap structure to mediate the initiation of translation (1,2). eIF4E interacts with eIF4G, a scaffold protein that promotes assembly of eIF4E and eIF4A into the eIF4F complex (2). eIF4B is thought to assist the eIF4F complex in translation initiation. Upon activation by mitogenic and/or stress stimuli mediated by Erk and p38 MAPK, Mnk1 phosphorylates eIF4E at Ser209 in vivo (3,4). Two Erk and p38 MAPK phosphorylation sites in mouse Mnk1 (Thr197 and Thr202) are essential for Mnk1 kinase activity (3). The carboxy-terminal region of eIF4G also contains serum-stimulated phosphorylation sites, including Ser1108, Ser1148, and Ser1192 (5). Phosphorylation at these sites is blocked by the PI3 kinase inhibitor LY294002 and by the FRAP/mTOR inhibitor rapamycin.	http://www.cellsignal.com/products/primary-antibodies/9742?hit=productId&Ntt=9742
EIF4G1	eIF4G-R-C_GBL1115778.txt	eIF4G-R-C	Use with Caution	Rabbit	CST	2498	Translation initiation factor	http://www.cellsignal.com/products/2498.html
ESR1	ER-alpha-R-V_GBL1115672.txt	ER-alpha-R-V	Validated	Rabbit	Lab Vision	RM-9101-S	Estrogen receptor, Transcription Factor	https://thermo.dirxion.com/immunohistochemistry/WebProject.asp?CodeId=7.6.3.2&BookCode=ihc12flx#
ESR1	ER-alpha_pS118-R-V_GBL1115673.txt	ER-alpha_pS118-R-V	Validated	Rabbit	Epitomics	1091-1	Estrogen receptor, Transcription Factor	http://www.epitomics.com/products/product_info/201/ER-antibody-1091-1.html
ERCC1	ERCC1-M-V_GBL1115816.txt	ERCC1-M-V	**Used for QC**	Mouse	Lab Vision	MS-671-PO	Involved in DNA repaire	http://www.thermoscientific.com/en/product/ercc1-ab-2-mouse-monoclonal-antibody.html
MAPK1	ERK2-R-E_GBL1115674.txt	ERK2-R-E	Under Evaluation	Rabbit	Santa Cruz	sc-154	Mitogen-activated protein kinase (MAPK) signaling pathways involve two closely related MAP kinases, known as extracellular-signal-related kinase 1 (ERK 1, p44) and 2 (ERK 2, p42).	http://www.scbt.com/datasheet-154-erk-2-c-14-antibody.html
ETS1	ETS-1-R-V_GBL1115794.txt	ETS-1-R-V	Validated	Rabbit	BethYl	A303-501A	Ets-1 is a member of the ETS family of transcription factors	www.bethyl.com/product/A303-501A/Ets-1_Antibody?referrer=search_default
FASN	FASN-R-V_GBL1115791.txt	FASN-R-V	Validated	Rabbit	CST	3180	Fatty acid synthase (FASN) catalyzes the synthesis of long-chain fatty acids from acetyl-CoA and malonyl-CoA. Indicated as a poor prognosis in breast and prostate cancer. 	http://www.cellsignal.com/products/3180.html
FN1	Fibronectin-R-V_GBL1115807.txt	Fibronectin-R-V	Use with Caution	Rabbit	Epitomics	1574-1	Involved in cell adhesion, cell motility, opsonization, wound healing, and maintenance of cell shape	http://www.epitomics.com/products/product_info/215/Fibronectin-antibody-1574-1.html
FOXM1	FoxM1-R-V_GBL1115777.txt	FoxM1-R-V	Validated	Rabbit	CST	5436	A forkhead box family transcription factor that regulates a number of genes throughout the cell cycle to help control DNA replication, mitosis and cell proliferation	http://www.cellsignal.com/products/5436.html
FOXO3	FOXO3a-R-C_GBL1115854.txt	FOXO3a-R-C	Use with Caution	Rabbit	CST	9467	Transcription Factor, involved in tyrosin kinase receptor and PI3K/AKT pathway	Discontinued and replaced by http://www.cellsignal.com/products/2497.html
FOXO3	FOXO3a_pS318_S321-R-C_GBL1115676.txt	FOXO3a_pS318_S321-R-C	Use with Caution	Rabbit	CST	9465	Transcription Factor, involved in tyrosin kinase receptor and PI3K/AKT pathway	http://www.cellsignal.com/products/3180.html
G6PD	G6PD-M-V_GBL1115842.txt	G6PD-M-V	Validated	Mouse	Santa Cruz	sc-373887	Plays an important role in the pentose phosphate pathway	http://www.scbt.com/datasheet-373887-g6pd-g-6-antibody.html
GAB2	GAB2-R-V_GBL1115752.txt	GAB2-R-V	Validated	Rabbit	CST	3239	Adaptor proteins recruited by a wide variety of receptor tyrosine kinases (RTKs) such as EGFR, HGFR, insulin receptor, cytokine receptor and B cell antigen receptors	http://www.cellsignal.com/products/3239.html
GAPDH	GAPDH-M-C_GBL1115817.txt	GAPDH-M-C	Use with Caution	Mouse	Ambion	AM4300	Glyceraldehyde 3-phosphate dehydrogenase	
GATA3	GATA3-M-V_GBL1115830.txt	GATA3-M-V	Validated	Mouse	BD Biosciences	558686	Transcription factor	http://www.bdbiosciences.com/ptProduct.jsp?prodId=656284&key=558686&param=search&mterms=true&from=dTable
GSK3A GSK3B	GSK3-alpha-beta-M-V_GBL1115818.txt	GSK3-alpha-beta-M-V	Validated	Mouse	Santa Cruz	SC-7291	An enzyme that regulates glycogen synthesis in response to insulin, Also involved in Wnt signaling	http://www.scbt.com/datasheet-7291-gsk-3alpha-beta-0011-a-antibody.html
GSK3A GSK3B	GSK3-alpha-beta_pS21_S9-R-V_GBL1115677.txt	GSK3-alpha-beta_pS21_S9-R-V	Validated	Rabbit	CST	9331	An enzyme that regulates glycogen synthesis in response to insulin, Also involved in Wnt signaling	http://www.cellsignal.com/products/9331.html
GSK3A GSK3B	GSK3_pS9-R-V_GBL1115769.txt	GSK3_pS9-R-V	Validated	Rabbit	CST	9336	An enzyme that regulates glycogen synthesis in response to insulin, Also involved in Wnt signaling	http://www.cellsignal.com/products/9336.html
ERBB2	HER2-M-V_GBL1115801.txt	HER2-M-V	Validated	Mouse	Lab Vision	MS-325-P1	The ErbB-2 proto-oncogene product	hermo.dirxion.com/immunohistochemistry/WebProject.asp?CodeId=7.6.3.2&BookCode=ihc12flx#
ERBB2	HER2_pY1248-R-C_GBL1115766.txt	HER2_pY1248-R-C	Use with Caution	Rabbit	Upstate (Millipore)	06-229	The ErbB-2 proto-oncogene product	https://www.millipore.com/catalogue/item/06-229
ERBB3	HER3-R-V_GBL1115747.txt	HER3-R-V	Validated	Mouse	Lab Vision	MS-201-P1ABX	A member of the ErbB receptor protein tyrosine kinase family, but it lacks tyrosine kinase activity	https://thermo.dirxion.com/immunohistochemistry/WebProject.asp?CodeId=7.6.3.2&BookCode=ihc12flx#
ERBB3	HER3_pY1289-R-C_GBL1115721.txt	HER3_pY1289-R-C	Use with Caution	Rabbit	CST	4791	A member of the ErbB receptor protein tyrosine kinase family, but it lacks tyrosine kinase activity	http://www.cellsignal.com/products/4791.html
NRG1	Heregulin-R-V_GBL1115741.txt	Heregulin-R-V	Validated	Rabbit	CST	2573	A soluble growth factor synthesized as a transmembrane precursor molecule involved in HRG-ErbB3/ErbB4 signaling to regulate cell proliferation, differentiation, invasion, and survival of both normal and malignant tissues	http://www.cellsignal.com/products/2573.html
HSPA1A	HSP70-R-C_GBL1115678.txt	HSP70-R-C	Use with Caution	Rabbit	CST	4872	A molecular chaperone expressed constitutively under normal conditions to maintain protein homeostasis and are induced upon environmental stress	http://www.cellsignal.com/products/4872.html
IGFBP2	IGFBP2-R-V_GBL1115679.txt	IGFBP2-R-V	Validated	Rabbit	CST	3922	Insulin-like growth factor-binding proteins (IGFBPs), Tyrosine kinase receptor	http://www.cellsignal.com/products/3922.html
INPP4B	INPP4B-R-V_GBL1115765.txt	INPP4B-R-V	Under Evaluation	Goat	Santa Cruz	SC-12318	The inositol polyphosphate 4-phosphatases catalyze the hydrolysis of phosphatidylinositol 3,4-bisphosphate, inositol 1,3,4-trisphosphate, and inositol 3,4-bisphosphate.	http://www.scbt.com/datasheet-12318-type-ii-4-phosphatase-n-20-antibody.html
IRS1	IRS1-R-V_GBL1115731.txt	IRS1-R-V	Validated	Rabbit	Upstate (Millipore)	06-248	Insulin receptor substrate (IRS) molecules are key mediators in insulin signaling and play a central role in maintaining basic cellular functions such as growth, survival, and metabolism. Involves in PI3K pathway.	
COPS5	JAB1-M-C_GBL1115849.txt	JAB1-M-C	Use with Caution	Mouse	Santa Cruz	sc-13157	JAB1is the coactivator of Jun, (designated as Jun-activation domain-binding protein), interacts with c-Jun and Jun D, but not with Jun B or v-Jun. This interaction enhances the transactivating ability of Jun proteins by stabilizing their binding to the TRE.	http://www.scbt.com/datasheet-13157-jab1-b-7-antibody.html
MAPK8	JNK_pT183_pY185-R-V_GBL1115740.txt	JNK_pT183_pY185-R-V	Validated	Rabbit	CST	4668	The stress-activated protein kinase, Belong to MAPK pathway (MKK4/7)	http://www.cellsignal.com/products/4668.html
MAPK9	JNK2-R-C_GBL1115680.txt	JNK2-R-C	Use with Caution	Rabbit	CST	4672	The stress-activated protein kinase, Belong to MAPK pathway (MKK4/7)	http://www.cellsignal.com/products/4672.html
XRCC5	Ku80-R-C_GBL1115745.txt	Ku80-R-C	Under Evaluation	Rabbit	CST	2180	Functions as the DNA-binding regulatory component of DNA-dependent protein kinase (DNA-PK) involving in DNA repaire	http://www.cellsignal.com/products/2180.html
LCK	Lck-R-V_GBL1115681.txt	Lck-R-V	Validated	Rabbit	CST	2752	A member of Src family of protein tyrosine kinases	http://www.cellsignal.com/products/2752.html
